Date,Tree Name,Full Sample,QAQC,Street Segment,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag information,ID Notes,Multi-stemmed,DBH (in),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Height Measured (DBH),Land Use Type,Site type,Percent Imperv in Root Zone,Street,Sidewalk,Powerline,Mulch,Mulch Volcano,Tree guard,Stake,Irrigation infrastructure,Irrigation infrastructure description,Gator bag,Pruned,Prune - Cut to branch collar,Prune - hatrack,Prune - flush cut,Prune - tear bark,Prune - bleeding wound,Gardenscape,Mowing,Grass/Veg Description,Grate,Other Cues to Care,Roots visible above soil,Girdling Roots,Fungal Conch,Road/Sidewalk Lift,Road/Sidewalk crack,Broken or Dead Branches in crown,Trunk damage,Leaf curling or Wrinkling,Other Notable Damage,Other notes,Discoloration,Defoliation,Dieback,Crown Vigor,Transparency,Crown Light Exposure,"Dead
",Missing or Removed,Exclude,To Update
7/15/2023,122-01-ULAM-001,TRUE,FALSE,128,1,Ulmus,americana,ULAM,FALSE,,,FALSE,11.5,,,,,,11.5,,MFR,SP,76-100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,recent,Patchy but green,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,25-Feb,25-Feb,trace,2,25,4,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-ULAM-002,TRUE,FALSE,128,2,Ulmus,americana,ULAM,FALSE,,,FALSE,10.8,,,,,,10.8,,MFR,SP,76-100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,recent,Patchy but green,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,26-50,25-Feb,15-Nov,3,45,3,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-ULAM-003,TRUE,FALSE,128,3,Ulmus,americana,ULAM,FALSE,,,FALSE,12.2,,,,,,12.2,,MFR,SP,76-100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,in ground sprinkler,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,recent,Patchy but green,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,right by lamppost ,26-50,25-Feb,5-Feb,3,35,4,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-CEOC-004,TRUE,FALSE,128,4,Celtis,occidentalis,CEOC,FALSE,,,FALSE,4.4,,,,,,4.4,,MFR,SP,51-75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,in ground sprinkler,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,recent,Patchy but green,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,51-75,25-Feb,trace,4,15,4,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-CEOC-005,TRUE,FALSE,128,5,Celtis,occidentalis,CEOC,FALSE,,,FALSE,5,,,,,,5,,MFR,SP,51-75,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,old,Patchy but green,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,25-Feb,25-Feb,21-25,4,35,4,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-GLTR-006,FALSE,FALSE,128,6,Gleditsia,triacanthos,GLTR,FALSE,,,FALSE,,,,,,,NA,,MFR,SP,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,FALSE,FALSE,TRUE,FALSE
7/15/2023,122-01-ULUNK-007,TRUE,FALSE,128,7,Ulmus,unknown,ULUN,FALSE,,,FALSE,11.3,,,,,,11.3,,MFR,SP,76-100,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,in ground sprinkler,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,old,Patchy but green,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,,25-Feb,25-Feb,10-Jun,2,35,3,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-ULUNK-008,TRUE,FALSE,128,8,Ulmus,unknown,ULUN,FALSE,,,FALSE,11.2,,,,,,11.2,,MFR,SP,76-100,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None,old,Patchy but green,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,right by lamppost ,25-Feb,25-Feb,trace,1,25,3,FALSE,FALSE,FALSE,FALSE
7/15/2023,128-GIBI-025,TRUE,FALSE,128,25,Ginkgo,biloba,GIBI,TRUE,Greenstreets 03316,,FALSE,1.4,,,,,,1.4,,MFR,SC,51-75,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,old,Patchy but green,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,lean,,trace,trace,10-Jun,1,65,4,FALSE,FALSE,FALSE,FALSE
7/15/2023,122-01-ACSA-009,FALSE,FALSE,128,9,Acer,saccharum,ACSA,FALSE,,,FALSE,,,,,,,NA,,MFR,SC,76-100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,old,Patchy but green,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE
