tree_id,CreatedTree,TreeName,CommonName,Genus,Species,Plants,DateAdded,TimeAdded,Latitude,Longitude,Address,TreeNotes,Adopted,RootConfig,ContainerSize,CaliperSize,DBH,VisitDate,VisitTime,VisitType,VisitorName,VisitDBH,VisitTreeHeight,StewardshipTasks,TimeSpent,ExitHoles,Exudation,Eggs,AdultInsectOrLarvaAppearance,FruitDamage,HolesInLeaves,Frass,EpicormicSprouts,Flaking,S_ShapedGalleries,BarkFissures,DeadBark,Galls,DeadTwigs,DiscolorationDeciduous,DiscoloraionConfier,WiltedLeaves,PrematureLeafLoss,LeafDiscoloration,CrownVigor,LeafDefoliation,FineTwigDieback,CrownLightExposure,FineTwigDiebackZ,LeafDiscolorationZ,LeafDefoliationZ,CrownVigorZ,CrownLightExposureZ,StressIndexNumber,Z_Score
33336,Eve Sanchez,46-01-FRPE-029,green ash,Fraxinus,pennsylvanica,FRPE,2021-06-18T00:00:00.000Z,16:17:08,41.83859,-87.73344,"3000 S Kolin Ave, Chicago, IL 60623, USA",,1,,,,18.43,2021-06-25T00:00:00.000Z,19:58:52,Health Check,Kamil Orozco ,46.8,,,0,,,,,,,,,,,,,,,,,,,2,3,2,5,4,-0.567170894,0.856039371,1.82557207,0.858324579,-0.127227248,0.569107575,9
102297,Renata Kamakura ,16-ACPL-008,Norway maple,Acer,platanoides,ACPL,2022-06-26T00:00:00.000Z,21:23:27,41.91312,-87.76511,"5548 W Bloomingdale Ave, Chicago, IL 60639, USA",,1,,,,21,2022-06-26T00:00:00.000Z,21:22:06,Health Check,Renata Kamakura ,21,,,0,,,,,,,,,,,,,,,,,,,3,3,1,5,2,-0.403508271,1.114884008,-0.512954402,0.699185742,-0.148311958,0.149859024,7
25220,Renata Kamakura ,16-ACPL-016,Norway maple,Acer,platanoides,ACPL,2022-06-26T00:00:00.000Z,22:37:49,41.91216278,-87.76438904,"1728 N Luna Ave, Chicago, IL 60639, USA",,1,,,,17.8,2022-06-26T00:00:00.000Z,22:36:57,Health Check,Renata Kamakura ,17.8,,,0,,,,,,,,,,,,,,,,,,,1,1,1,5,2,-0.403508271,-1.007757199,-0.512954402,-1.141541216,-0.04947125,-0.623046467,2
66445,Renata Kamakura ,16-ACPL-017,Norway maple,Acer,platanoides,ACPL,2022-06-26T00:00:00.000Z,22:43:03,41.91207886,-87.76439667,"1728 N Luna Ave, Chicago, IL 60639, USA",,1,,,,20.3,2022-06-29T00:00:00.000Z,16:11:58,Health Check,Tricia Bethke,19.9,,,0,,,,,,,,,,,,,,,,,,,1,2,1,5,2,-0.403508271,-1.007757199,-0.512954402,-0.221177737,-0.148311958,-0.458741913,4
66445,Renata Kamakura ,16-ACPL-017,Norway maple,Acer,platanoides,ACPL,2022-06-26T00:00:00.000Z,22:43:03,41.91207886,-87.76439667,"1728 N Luna Ave, Chicago, IL 60639, USA",,1,,,,20.3,2022-06-26T00:00:00.000Z,22:42:10,Health Check,Renata Kamakura ,20.3,,,0,,,,,,,,,,,,,,,,,,,1,1,1,10,2,-0.095397841,-1.007757199,-0.512954402,-1.141541216,-0.148311958,-0.581192523,3
74292,Renata Kamakura ,16-ACPL-018,Norway maple,Acer,platanoides,ACPL,2022-06-26T00:00:00.000Z,22:47:19,41.91201,-87.7644,"1724 N Luna Ave, Chicago, IL 60639, USA",,1,,,,19,2022-06-26T00:00:00.000Z,22:46:35,Health Check,Renata Kamakura ,19,,,0,,,,,,,,,,,,,,,,,,,1,1,1,5,2,-0.403508271,-1.007757199,-0.512954402,-1.141541216,-0.247152665,-0.662582751,2
2533,Renata Kamakura ,16-ACPL-019,Norway maple,Acer,platanoides,ACPL,2022-06-26T00:00:00.000Z,23:39:06,41.91182709,-87.76436615,"1716 N Luna Ave, Chicago, IL 60639, USA",,1,,,,18.4,2022-06-26T00:00:00.000Z,23:36:57,Health Check,Renata Kamakura ,18.4,,,0,,,,,,,,,,,,,,,,,,,1,1,1,10,3,-0.095397841,-1.007757199,-0.512954402,-1.141541216,-0.04947125,-0.561424382,3
86650,Renata Kamakura ,16-ACPL-032,Norway maple,Acer,platanoides,ACPL,2022-06-27T00:00:00.000Z,0:41:24,41.91186142,-87.76423645,"1719 N Luna Ave, Chicago, IL 60639, USA",,1,,,,15.7,2022-06-27T00:00:00.000Z,0:40:03,Health Check,Renata Kamakura ,15.7,,,0,,,,,,,,,,,,,,,,,,,1,2,1,15,3,0.212712589,-1.007757199,-0.512954402,-0.221177737,0.148210165,-0.276193317,5
12049,Renata Kamakura ,16-ACPL-033,Norway maple,Acer,platanoides,ACPL,2022-06-27T00:00:00.000Z,0:44:33,41.91181564,-87.76422119,"1719 N Luna Ave, Chicago, IL 60639, USA",,1,,,,15.2,2022-06-27T00:00:00.000Z,0:43:59,Health Check,Renata Kamakura ,15.2,,,0,,,,,,,,,,,,,,,,,,,3,4,1,75,4,3.910037747,1.114884008,-0.512954402,1.619549221,0.34589158,1.295481631,10
11047,Renata Kamakura ,16-ACPL-047,Norway maple,Acer,platanoides,ACPL,2022-06-30T00:00:00.000Z,17:51:30,41.91141,-87.76315,"1704 N Linder Ave, Chicago, IL 60639, USA",,1,,,,19,2022-07-05T00:00:00.000Z,13:45:41,Health Check,unknown user,19.1,,,0,,,,,,,,,,,,,,,,,,,2,2,1,10,3,-0.095397841,0.053563405,-0.512954402,-0.221177737,-0.04947125,-0.165087565,5
131074,Renata Kamakura ,16-ACPL-048,Norway maple,Acer,platanoides,ACPL,2022-06-30T00:00:00.000Z,17:53:15,41.91149,-87.76315,"1704 N Linder Ave, Chicago, IL 60639, USA",,1,,,,13.9,2022-07-05T00:00:00.000Z,13:47:21,Health Check,unknown user,13.9,,,0,,,,,,,,,,,,,,,,,,,2,4,1,70,3,3.601927317,0.053563405,-0.512954402,1.619549221,0.247050873,1.001827283,10
