Tree Name,Previous Name (HTHC),Street Segment,Tree Number,Genus,Species,Species ID Code,Tree tag present,ID Notes,Multi-stemmed,Height measured (DBH),Total DBH,Land Use Type,Site type,Street,Sidewalk,Powerline,Mulch,Mulch volcano,Pruned,Mowing,Protection at base,Stake,Cement fence at base,Girdling Roots,Fungal Conch,Damage to road/sidewalk,Other Cues to Care,Other Notable Damage,Other notes,Removed
275-CEOC-001,260-01-CEOC-001,275,1,Celtis,occidentalis,CEOC,FALSE,,FALSE,,18.2,MP,SP,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE
275-CEOC-002,260-01-CEOC-002,275,2,Celtis,occidentalis,CEOC,FALSE,,FALSE,,14.6,MP,SP,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,trunk decay,,FALSE
275-CEOC-003,260-01-CEOC-003,275,3,Celtis,occidentalis,CEOC,FALSE,,FALSE,,16.4,MP,SP,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,"trunk decay, spray painted heart on trunk",,FALSE
275-QUBI-004,260-01-QUBI-004,275,4,Quercus,bicolor,QUBI,FALSE,,FALSE,,3.9,MP,SP,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,trunk decay,,FALSE
275-QUUN-005,260-01-QUUNK-005,275,5,Quercus,unknown,QUUN,FALSE,,FALSE,,4,MP,SP,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
275-CEOC-006,260-01-CEOC-006,275,6,Celtis,occidentalis,CEOC,FALSE,,FALSE,,14.2,INST,SP,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE
275-CEOC-007,260-01-CEOC-007,275,7,Celtis,occidentalis,CEOC,FALSE,,FALSE,,18.3,INST,SC,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
275-CEOC-008,260-01-CEOC-008,275,8,Celtis,occidentalis,CEOC,FALSE,,FALSE,,14.35,INST,SC,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,FALSE
275-CEOC-009,260-01-CEOC-009,275,9,Celtis,occidentalis,CEOC,FALSE,,FALSE,,11.5,INST,SC,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,trunk decay ,,FALSE
275-CEOC-010,260-01-CEOC-010,275,10,Celtis,occidentalis,CEOC,FALSE,,FALSE,,14.8,INST,SC,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,FALSE
