tree_id,CreatedTree,TreeName,CommonName,Genus,Species,Plants,DateAdded,TimeAdded,Latitude,Longitude,Address,TreeNotes,Adopted,RootConfig,ContainerSize,CaliperSize,DBH,VisitDate,VisitTime,VisitType,VisitorName,VisitDBH,VisitTreeHeight,StewardshipTasks,TimeSpent,ExitHoles,Exudation,Eggs,AdultInsectOrLarvaAppearance,FruitDamage,HolesInLeaves,Frass,EpicormicSprouts,Flaking,S_ShapedGalleries,BarkFissures,DeadBark,Galls,DeadTwigs,DiscolorationDeciduous,DiscoloraionConfier,WiltedLeaves,PrematureLeafLoss,LeafDiscoloration,CrownVigor,LeafDefoliation,FineTwigDieback,CrownLightExposure,FineTwigDiebackZ,LeafDiscolorationZ,LeafDefoliationZ,CrownVigorZ,CrownLightExposureZ,StressIndexNumber,Z_Score
260,Renata Kamakura ,122-01-ACPL-011,Norway maple,Acer,platanoides,ACPL,2021-07-09T00:00:00.000Z,23:58:56,41.8762,-87.6868,"2412A W Van Buren St, Chicago, IL 60612, USA",,1,,,,8.5,2021-07-09T00:00:00.000Z,23:58:04,Health Check,Renata Kamakura ,8.5,,,0,,,,,,,,,,,,,,,,,,,2,2,1,1,4,-0.649996615,0.053563405,-0.512954402,-0.221177737,-0.247152665,-0.315543603,4
260,Renata Kamakura ,122-01-ACPL-011,Norway maple,Acer,platanoides,ACPL,2021-07-09T00:00:00.000Z,23:58:56,41.8762,-87.6868,"2412A W Van Buren St, Chicago, IL 60612, USA",,1,,,,8.5,2022-07-26T00:00:00.000Z,14:18:54,Health Check,Andrea Nunes,9.1,,,0,,,,,,,,,,,,,,,,,,,2,1,1,1,5,-0.649996615,0.053563405,-0.512954402,-1.141541216,-0.345993373,-0.51938444,3
48059,Renata Kamakura ,122-01-ACPL-012,Norway maple,Acer,platanoides,ACPL,2021-07-10T00:00:00.000Z,0:04:35,41.8762,-87.6867,"344 S Western Ave, Chicago, IL 60612, USA",,1,,,,4.69,2022-07-26T00:00:00.000Z,14:22:50,Health Check,Andrea Nunes,4.6,,,0,,,,,,,,,,,,,,,,,,,NA,5,NA,100,4,5.450589896,-3.130398405,-3.968515518,2.5399127,,0.222897168,7
48059,Renata Kamakura ,122-01-ACPL-012,Norway maple,Acer,platanoides,ACPL,2021-07-10T00:00:00.000Z,0:04:35,41.8762,-87.6867,"344 S Western Ave, Chicago, IL 60612, USA",,1,,,,4.69,2021-08-20T00:00:00.000Z,16:29:45,Health Check,Renata Kamakura ,4.69,,,0,,,,,,,,,,,,,,,,,,,5,4,1,80,4,4.218148176,3.237525215,-0.512954402,1.619549221,0.247050873,1.761863817,10
48059,Renata Kamakura ,122-01-ACPL-012,Norway maple,Acer,platanoides,ACPL,2021-07-10T00:00:00.000Z,0:04:35,41.8762,-87.6867,"344 S Western Ave, Chicago, IL 60612, USA",,1,,,,4.69,2021-07-10T00:00:00.000Z,0:03:43,Health Check,Renata Kamakura ,4.69,,,0,,,,,,,,,,,,,,,,,,,3,4,1,80,4,4.218148176,1.114884008,-0.512954402,1.619549221,0.34589158,1.357103717,10
56225,Renata Kamakura ,122-01-ACSA-009,sugar maple,Acer,saccharum,ACSA3,2021-07-09T00:00:00.000Z,23:48:37,41.8762,-87.6876,"2432B W Van Buren St, Chicago, IL 60612, USA",,1,,,,3.58,2022-07-26T00:00:00.000Z,14:09:34,Health Check,Andrea Nunes,3.6,,,0,,,,,,,,,,,,,,,,,,,2,4,2,40,4,1.835080196,0.039227384,1.03507179,1.576448068,0.144254328,0.926016353,10
56225,Renata Kamakura ,122-01-ACSA-009,sugar maple,Acer,saccharum,ACSA3,2021-07-09T00:00:00.000Z,23:48:37,41.8762,-87.6876,"2432B W Van Buren St, Chicago, IL 60612, USA",,1,,,,3.58,2021-08-20T00:00:00.000Z,16:32:52,Health Check,Renata Kamakura ,3.58,,,0,,,,,,,,,,,,,,,,,,,2,3,1,20,4,0.567262319,0.039227384,-0.553310266,0.6756206,-0.050074491,0.135745109,7
56225,Renata Kamakura ,122-01-ACSA-009,sugar maple,Acer,saccharum,ACSA3,2021-07-09T00:00:00.000Z,23:48:37,41.8762,-87.6876,"2432B W Van Buren St, Chicago, IL 60612, USA",,1,,,,3.58,2021-07-09T00:00:00.000Z,23:47:42,Health Check,Renata Kamakura ,3.58,,,0,,,,,,,,,,,,,,,,,,,2,3,1,20,4,0.567262319,0.039227384,-0.553310266,0.6756206,-0.050074491,0.135745109,7
62835,Renata Kamakura ,122-01-ACSA-010,sugar maple,Acer,saccharum,ACSA3,2021-07-09T00:00:00.000Z,23:54:26,41.8762,-87.687,"2414A W Van Buren St, Chicago, IL 60612, USA",,1,,,,3.31,2022-07-26T00:00:00.000Z,14:15:09,Health Check,Andrea Nunes,3.3,,,0,,,,,,,,,,,,,,,,,,,2,3,1,30,4,1.201171257,0.039227384,-0.553310266,0.6756206,-0.050074491,0.262526897,8
62835,Renata Kamakura ,122-01-ACSA-010,sugar maple,Acer,saccharum,ACSA3,2021-07-09T00:00:00.000Z,23:54:26,41.8762,-87.687,"2414A W Van Buren St, Chicago, IL 60612, USA",,1,,,,3.31,2021-07-09T00:00:00.000Z,23:53:31,Health Check,Renata Kamakura ,3.31,,,0,,,,,,,,,,,,,,,,,,,2,3,1,30,4,1.201171257,0.039227384,-0.553310266,0.6756206,0.047089919,0.281959779,8
