PLANTS,SUB_NAME,SUB_GENUS,SUB_SPECIES,Genus,Species,City parkway,Sidewalk cut out,Median,Private property,Under wires,Salt tolerant,Spring planting best,Promotes Diversity,Hardiness,Ease of transplant,Native to Illinois,Height_low,Height_height,DroughtTol,SaltTol,StreetUrban
ACGR14,paperbark maple,Acer,griseum,Acer,griseum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,20,30,0,0,0
,,Acer,negundo,Acer,negundo,,,,,,,,,,,,30,50,0,0,0
ACPA2,Japanese maple,Acer,palmatum,Acer,palmatum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,15,25,0,0,0
ACPL,Norway maple,Acer,platanoides,Acer,platanoides,1,0,0,1,0,0,1,0,GD,GD,N,40,50,1,1,1
ACRU,red maple,Acer,rubrum,Acer,rubrum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,40,60,0,0,0
ACSA2,silver maple,Acer,saccharinum,Acer,saccharinum,1,0,1,1,0,0,1,0,GD,GD,Y,50,70,0,1,0
ACSA3,sugar maple,Acer,saccharum,Acer,saccharum,1,0,0,1,0,0,1,0,GD,AV,Y,60,75,0,0,0
,,Acer,spp.,Acer,spp.,,,,,,,,,,,,15,75,0,0,0
ACFR,Freeman maple,Acer,x freemanii,Acer,x freemanii,1,0,1,1,0,0,0,0,GD,GD,Y - H,40,60,0,0,0
AEFL,yellow buckeye,Aesculus,flava,Aesculus,flava,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,60,75,0,0,0
AEGL,Ohio buckeye,Aesculus,glabra,Aesculus,glabra,1,1,0,1,0,0,0,1,GD,AV,Y,20,40,0,0,0
,,Aesculus,hippocastanum,Aesculus,hippocastanum,,,,,,,,,,,,50,75,0,1,0
AE,Buckeye spp,Aesculus,spp.,Aesculus,spp.,1,0,0,1,0,0,0,0,GD,AV,,20,75,0,0,0
AESY,painted buckeye,Aesculus,sylvatica,Aesculus,silvatica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6,15,0,0,0
AIAL,tree-of-heaven,Ailanthus,altissima,Ailanthus,altissima,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,40,60,0,1,0
ALGL2,European black alder,Alnus,glutinosa,Alnus,glutinosa,0,0,0,1,0,0,0,1,GD,GD,N,40,60,0,0,0
BENI,river birch,Betula,nigra,Betula,nigra,1,0,0,1,0,0,1,1,GD,AV,Y,40,70,0,0,0
