OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,LATITUDE,LONGITUDE,ADDRESS,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious,PercentRenters,MedianHomeValue,Vpdmax_july,Vpdmax_aug,UDO,ZONE_GEN,ZoneShort,pm_t_f,am_t_f,af_t_f
4,9989CB9E-E7B4-4F8F-ABFD-00DBEC808AFF,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,09:30.0,58:21.6,S-O18-CECA-009,3273,36.00845,-78.93902,"2351 Erwin Rd, Durham, NC 27710, USA","DBH measured at 2'8""",2.2,4,13:33.0,,,2,2,2,2,1,5,35,4,72,100,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.2796936,70.21359253,85.12571716
6,79C383F6-A96A-48F9-86BA-01D2BE95C76E,red maple,Acer,rubrum,NA,ACRU                ,189796,56:02.0,16:04.9,S-Q21-ACRU-069,3247,35.996685,-78.903614,"334 W Main St, Durham, NC 27701, USA",,6.3,277,57:33.0,,,2,3,1,2,45,5,55,3,80,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.66799927,68.45121002,85.62755585
7,DE0C7E31-05AC-4206-B718-02B200C5813A,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,06:24.0,,S-P21-LAUN-001,6931,36.000975,-78.898829,"214 Broadway St, Durham, NC 27701, USA","DBH measured at 3'4""",1.45,363,08:00.0,,Bark blonding ,2,1,1,1,5,5,45,5,91,74.9,363600,24.47979927,21.92829895,DD-S1,DOWNTOWN DESIGN-SUPPORT 1,DOW,82.95052338,68.74536896,84.86457825
9,DBE4DD4B-107C-489D-BA04-037A5D623B18,Callery pear (Bradford pear),Pyrus,calleryana,NA,PYCA80              ,189796,57:37.0,,S-U21-PYCA-018,10957,35.961841,-78.895068,"703 Gaston Ave, Durham, NC 27707, USA","Dbh measured at 4'3""",19.5,444,58:45.0,,,2,1,1,2,1,4,5,5,40,37.2,136500,24.62290001,22.06649971,RU-5,RES_MEDIUM_DENSITY,RES,80.2440033,66.95092773,84.05526733
10,1E7D1EA8-1D99-4855-9831-03EAB8B6DC61,juniper,Juniperus,spp.,NA,JUNIP               ,189796,36:33.0,,S-R21-JUUN-010,3640,35.979545,-78.903737,"202 Dunstan Ave, Durham, NC 27707, USA",,5,334,37:53.0,,,2,1,1,1,1,5,15,5,51,81.8,,24.43400002,21.96369934,RU-5(2),RES_HIGH_DENSITY,RES,81.59802246,67.42488861,84.7077713
11,DC9F33F2-76D5-48A0-A1E7-044CF878AB54,willow oak,Quercus,phellos,NA,QUPH                ,189796,37:25.0,21:02.6,S-O18-QUPH-037,3343,36.007914,-78.93548,"2231 Erwin Rd, Durham, NC 27710, USA",,16.9,38,42:28.0,,,2,3,NA,2,5,4,35,3,79,100,,24.16559982,21.82219887,UC, , ,83.38877869,69.80323029,85.07192993
17,2082A15D-39AF-4F61-9518-06B2C04513D1,willow oak,Quercus,phellos,NA,QUPH                ,189796,39:25.0,28:00.2,S-O18-QUPH-032,3343,36.008044,-78.934355,"2204 Erwin Rd, Durham, NC 27705, USA",,30.7,8,41:10.0,,,2,4,NA,4,15,3,45,2,69,100,,24.16559982,21.82219887,UC, , ,83.20102692,69.35404968,84.55160522
18,F6411E12-F480-4BA1-8A43-06E8B8DD1F86,trident maple,Acer,buergerianum,NA,ACBU4               ,203642,36:09.0,,S-O21-ACBU-055,20243,36.005503,-78.894969,"110 W Trinity Ave, Durham, NC 27701, USA",,8.4,362,28:55.0,38:02.0,,2,1,1,2,1,5,15,5,27,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.68884277,67.6167984,84.02932739
20,DBB528FB-3705-442C-87F6-0720C8B54E00,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,45:12.0,58:35.0,S-O18-CECA-019,3273,36.00833,-78.937643,"2310 Erwin Rd, Durham, NC 27705, USA","Measured at 2'11""",1.55,14,46:28.0,,,2,2,2,2,1,5,45,4,85,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.20196533,70.11777496,85.28846741
21,B91D927D-E184-4C9E-A261-0765879AB822,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,40:26.0,02:38.8,S-Q21-ZESE-065,18056,35.996879,-78.904067,"347 W Main St, Durham, NC 27701, USA",,12.05,273,41:41.0,,"Trunk damage, resprout",2,1,1,1,1,4,35,5,79,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.64878082,68.53215027,85.73213959
22,7019DB0F-5C55-43A3-BB38-07BBB6FA9FB5,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,56:20.0,04:40.6,S-Q21-GYDI-042,3986,35.996074,-78.903995,"318 W Pettigrew St, Durham, NC 27701, USA",,9.5,256,57:11.0,,Some epicormic branching,2,2,1,2,1,5,35,4,86,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.78113556,68.32190704,85.56943512
23,1AD215A8-C138-427B-BAB9-08674781CA48,willow oak,Quercus,phellos,NA,QUPH                ,179696,03:02.0,,S-O21-QUPH-037,3343,36.005337,-78.894635,"921 N Mangum St, Durham, NC 27701, USA",,35,144,04:29.0,,"Root decay, broken branches. ",2,2,1,2,1,5,45,4,37,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.70781708,67.59197998,83.90650177
24,D68B74C9-1645-4B5A-B667-0877DCE34FD6,elm,Ulmus,spp.,NA,ULMUS               ,189796,34:46.0,,S-P21-ULUN-020,3478,36.000405,-78.89451,"207 Dowd St, Durham, NC 27701, USA",,1.4,381,36:33.0,,Broken branches low in canopy,2,2,1,2,20,5,75,4,60,74.9,363600,24.51280022,21.95669937,RU-5,RES_MEDIUM_DENSITY,RES,82.7069397,67.82990265,84.3285141
25,E94FA44D-D24E-46F2-9BC2-08AB8E006B36,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,41:57.0,58:51.9,S-O18-CECA-013,3273,36.008403,-78.938346,"Durham, NC, Durham, NC 27710, USA","Measured at 2'3""",1.6,8,43:31.0,,,2,2,2,2,1,5,15,4,53,99.5,,24.25160027,21.83729935,RU-M,RES_HIGH_DENSITY,RES,83.21109009,70.19843292,85.13944244
27,FE06CEF7-D1CA-4E15-AFC7-0A9D1A104D11,Norway maple,Acer,platanoides,NA,ACPL                ,189796,18:17.0,,S-P21-ACPL-065,3002,36.000301,-78.892329,"325 Dowd St, Durham, NC 27701, USA","This tree is a 'Crimson sunset maple,' a hybrid between an Acer truncatum and an Acer platanoides. All the previous Acer platanoides are, too.",0.89,423,19:05.0,,"This tree is a 'Crimson sunset maple,' a hybrid between an Acer truncatum and an Acer platanoides. All the previous Acer platanoides are, too.",2,2,2,2,1,4,35,4,66,62.9,173600,24.51280022,21.95669937,RU-M,RES_HIGH_DENSITY,RES,81.64079285,67.75061035,84.58301544
28,8EBF7B9B-9647-4DCA-A4D9-0B2D36C4DDB4,sugar maple,Acer,saccharum,NA,ACSA3               ,189796,59:38.0,,S-O21-ACSA-058,3249,36.005452,-78.894557,"104 W Trinity Ave, Durham, NC 27701, USA",,16,311,00:34.0,,,2,2,1,1,5,5,45,4,37,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.87466431,67.57105255,83.86569214
29,0764D700-ED97-40B9-A4D7-0B337DED76EB,trident maple,Acer,buergerianum,NA,ACBU4               ,203642,32:13.0,,S-O21-ACBU-053,20243,36.005488,-78.895026,"110 W Trinity Ave, Durham, NC 27701, USA",,6.2,84,33:34.0,,,2,1,1,1,1,4,25,5,27,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.57730865,67.63889313,84.01560974
31,2493124E-C98B-40D4-984F-0BD1A1D4BE6D,live oak,Quercus,virginiana,NA,QUVI                ,189796,05:54.0,,S-O21-QUVI-112,3349,36.006173,-78.891637,"1309 Shawnee St, Durham, NC 27701, USA",,35,327,06:53.0,,,2,2,1,1,5,5,25,4,51,54.5,367200,24.53689957,21.95469856,RU-5(2),RES_HIGH_DENSITY,RES,81.10739136,66.86014557,83.52566528
32,F3930370-68A5-4348-A9EF-0BD503872ED8,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,00:50.0,55:23.0,S-Q21-CACA-014,3258,35.99369,-78.90102,"219 S Mangum St, Durham, NC 27701, USA",,1.65,228,01:57.0,06:15.0,Dead,2,5,NA,NA,100,NA,0,1,84,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.30593872,69.07891846,84.28066254
33,2667D147-7C8F-4033-A568-0C58125BF9C4,maple,Acer,spp.,NA,ACER                ,189796,18:39.0,13:26.3,S-Q21-ACTR-060,3477,35.996904,-78.905055,"211 W Chapel Hill St, Durham, NC 27701, USA",,3.9,268,20:11.0,,,2,1,1,2,1,4,15,5,74,74.9,363600,24.37419891,21.89970016,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.67953491,68.62264252,85.55622101
34,74AC93B2-5B87-411B-9604-0C94A21E1DBB,American hornbeam,Carpinus,caroliniana,NA,CACA18              ,189796,29:17.0,,S-R21-CACA-008,3258,35.979507,-78.90356,"204 Dunstan Ave, Durham, NC 27707, USA",,0.7,332,30:05.0,,,2,3,2,1,20,5,65,3,51,81.8,,24.43400002,21.96369934,RU-5(2),RES_HIGH_DENSITY,RES,81.50121307,67.40203094,84.51332092
35,E938FBD6-7B08-406A-B0BE-0D0F33E0EF71,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,33:43.0,04:54.5,S-Q21-GYDI-037,3986,35.995847,-78.903563,"212 Ramseur St, Durham, NC 27701, USA",,4.2,251,35:16.0,,Gash in branch,2,1,1,2,1,5,45,5,82,74.9,363600,24.47979927,21.92829895,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.62713623,68.24417114,85.46024323
36,B8C6EFAA-DDC6-4E6D-9FFE-0D17863F668E,live oak,Quercus,virginiana,NA,QUVI                ,203642,27:42.0,,S-O21-QUVI-052,3349,36.005523,-78.89514,"112 W Trinity Ave, Durham, NC 27701, USA",,23.9,83,28:51.0,,,2,1,1,1,5,5,35,5,27,54.5,367200,24.53689957,21.95469856,RU-5,RES_MEDIUM_DENSITY,RES,81.63225555,67.61166382,84.05266571
39,16B9B38C-9CDE-4468-A646-0EDC43333908,American elm,Ulmus,americana,NA,ULAM                ,189796,03:57.0,,S-P21-ULAM-038,3358,36.0004,-78.890709,"419 Dowd St, Durham, NC 27701, USA",,1.45,397,05:24.0,,,2,2,1,2,15,5,65,4,60,62.9,173600,24.51280022,21.95669937,RS-M,RES_HIGH_DENSITY,RES,81.2495575,67.50497437,84.83868408
41,A0204245-C50B-40AF-9DBF-10DF4D8E4B24,red maple,Acer,rubrum,NA,ACRU                ,189796,28:15.0,16:20.8,S-Q21-ACRU-028,3247,35.994474,-78.902441,"205 Blackwell St, Durham, NC 27701, USA",,5.9,242,29:54.0,,,2,3,1,2,25,5,45,3,83,73.9,154500,24.42029953,21.9090004,DD-C,DOWNTOWN DESIGN-CORE,DOW,83.28704071,69.18428802,84.5235672
