Tree Name,Date,Street Segment,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag information,Tree ID in City Inventory (if applicable),Tree Not in City Inventory,ID Notes,Multi-stemmed,DBH (in),Esimated DBH,Height Measured (DBH),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Land Use Type,Site type,Ground Cover,Street,Sidewalk,Powerline,Mulch,Pruned,Mowing,Protection at tree base,Stake,Tree diaper,Other Cues to Care,Root Pan above soil,Root Decay,Fungal Conch,Damage to road/sidewalk,Broken Branches,TrunkDamage,Other Notable Damage,Other notes,In HTHC,To Update,Removed
S-P21-LAUN-001,7/30/2022,P21,1,Lagerstroemia,unknown,LAUN,FALSE,,2944419,FALSE,,FALSE,1.45,,"3'4""",,,,,,1.45,INST,SP,Penetrable soils - grass,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bark blonding/some physical damage ,,FALSE,FALSE,FALSE
S-U21-LIST-001,8/3/2022,U21,1,Liquidambar,styraciflua,LIST,FALSE,,,TRUE,,FALSE,1.7,,,,,,,,1.7,SFR-D,SY,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-O18-CECA-001,5/20/2022,O18,1,Cercis,canadensis,CECA,FALSE,,2942018,FALSE,green-leaved variety,FALSE,2.3,,"2' 10""",,,,,,2.3,INST,OM,Penetrable soils - grass,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Starting SW end of transect, by Duke medical sign.",FALSE,FALSE,FALSE
S-Q21-ULAM-001,7/20/2022,Q21,1,Ulmus,americana,ULAM,FALSE,,2944923,FALSE,,FALSE,4,,,,,,,,4,TR,OM,Penetrable soils - grass,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper ,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"trunk sprout,",,FALSE,FALSE,FALSE
S-U16-LAUN-001,7/23/2022,U16,1,Lagerstroemia,unknown,LAUN,FALSE,,,TRUE,,TRUE,2.5,,,3.65,,,,,6.15,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"not in inventory, need to add to map, didn't notify residents",FALSE,FALSE,FALSE
S-R21-QUPH-001,7/28/2022,R21,1,Quercus,phellos,QUPH,FALSE,,2827177,FALSE,,FALSE,44.5,,,,,,,,44.5,SFR-D,FY,Mixed - Penetrable & Impervious,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,bark blonding,,FALSE,FALSE,FALSE
S-R21-CACA-002,7/28/2022,R21,2,Carpinus,caroliniana,CACA,FALSE,,2974906,FALSE,,FALSE,1,,,,,,,,1,SFR-D,OM,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,weed mat,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,FALSE,FALSE,FALSE
S-O18-CECA-002,5/20/2022,O18,2,Cercis,canadensis,CECA,FALSE,,2942017,FALSE,green-leaved variety,FALSE,1.35,,2',,,,,,1.35,INST,OM,Penetrable soils - grass,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-P21-LAUN-002,7/30/2022,P21,2,Lagerstroemia,unknown,LAUN,FALSE,,2944418,FALSE,,FALSE,2.1,,,,,,,,2.1,INST,SP,Penetrable soils - grass,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"trunk decay, trunk and basal resprout ",,FALSE,FALSE,FALSE
S-U21-CAIL-002,8/3/2022,U21,2,Carya,illinoinensis,CAIL,FALSE,,,TRUE,,FALSE,2.2,,,,,,,,2.2,SFR-D,NAT,Penetrable soils - shrub,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-Q21-ULAM-002,7/20/2022,Q21,2,Ulmus,americana,ULAM,FALSE,,2944922,FALSE,,FALSE,4.7,,,,,,,,4.7,TR,OM,Penetrable soils - grass,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"trunk sprout, holes in leaves",,FALSE,FALSE,FALSE
S-S18-COFL-002,8/3/2022,S18,2,Cornus,florida,COFL,FALSE,,,TRUE,,TRUE,3.78,,,3.35,,,,,7.13,SFR-D,FY,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-U16-QUUN-002,7/23/2022,U16,2,Quercus,unknown,QUUN,FALSE,,,TRUE,"post oak like leaves, but side lobes are wider at tips. bark deeply channeled like bur oak. leaves not super glossy on top. leaves hairless on underside",FALSE,18.8,,,,,,,,18.8,SFR-D,FY,Penetrable soils - bare,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"large branch dieback, some horizontal scars on trunk","not in inventory, need to confirm ID, need to add to map, didn't notify residents, buried cable",FALSE,FALSE,FALSE
S-R21-CAIL-003,7/28/2022,R21,3,Carya,illinoinensis,CAIL,FALSE,,,TRUE,,FALSE,0.75,,,,,,,,0.75,SFR-D,SY,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-U21-LIST-003,8/3/2022,U21,3,Liquidambar,styraciflua,LIST,FALSE,,,TRUE,,FALSE,1.17,,,,,,,,1.17,SFR-D,SY,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,surrounded by other trees in a non-maintained area ,FALSE,FALSE,FALSE
S-P21-LAUN-003,7/30/2022,P21,3,Lagerstroemia,unknown,LAUN,FALSE,,2944417,FALSE,,FALSE,1.6,,"3'10""",,,,,,1.6,INST,SP,Penetrable soils - grass,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,bark peeling beginning ,FALSE,FALSE,FALSE
S-O18-CECA-003,5/20/2022,O18,3,Cercis,canadensis,CECA,FALSE,,2942015,FALSE,green-leaved variety,FALSE,1.7,,"3'1""",,,,,,1.7,INST,OM,Penetrable soils - grass,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Three other stems growing adjacent to trunk,FALSE,FALSE,FALSE
S-S18-CECA-003,8/3/2022,S18,3,Cercis,canadensis,CECA,FALSE,,,TRUE,,FALSE,3.39,,,,,,,,3.39,SFR-D,FY,Penetrable soils - shrub,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,extensive chlorotism ,,FALSE,FALSE,FALSE
S-Q21-ULAM-003,7/20/2022,Q21,3,Ulmus,americana,ULAM,FALSE,,2944921,FALSE,,FALSE,4.9,,,,,,,,4.9,TR,OM,Penetrable soils - grass,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dead bunches of leaves,,FALSE,FALSE,FALSE
S-U16-PITA-003,7/23/2022,U16,3,Pinus,taeda,PITA,FALSE,,,TRUE,"needles in groups of two, medium length needles, come about 4 inches tall, semi round,growth form wider near top of canopy",FALSE,24.5,,,,,,,,24.5,INST,OM,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"not in inventory, need to add to map, small juniper growing next to tree",FALSE,FALSE,FALSE
S-S18-ILCO-004,8/3/2022,S18,4,Ilex,cornuta,ILCO,FALSE,,,TRUE,,FALSE,0.54,,2'1'',,,,,,0.54,SFR-D,FY,Penetrable soils - shrub,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-R21-MORU-004,7/28/2022,R21,4,Morus,rubra,MORU,FALSE,,,TRUE,,FALSE,1,,,,,,,,1,SFR-D,SY,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-O18-CECA-004,5/20/2022,O18,4,Cercis,canadensis,CECA,FALSE,,2942016,FALSE,green-leaved variety,FALSE,1.85,,"1'9""",,,,,,1.85,INST,OM,Penetrable soils - grass,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE
S-U21-LIST-004,8/3/2022,U21,4,Liquidambar,styraciflua,LIST,FALSE,,,TRUE,,TRUE,1.2,,,0.87,,,,,2.07,SFR-D,SY,Penetrable soils - grass,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,surrounded by other trees in a non-maintained area ,FALSE,FALSE,FALSE
S-P21-LAUN-004,7/30/2022,P21,4,Lagerstroemia,unknown,LAUN,FALSE,,2944416,FALSE,,FALSE,2.5,,"4'1""",,,,,,2.5,COMM,SP,Penetrable soils - grass,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,tree diaper; mulch is volcano,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,trunk sprout,,FALSE,FALSE,FALSE
