OBJECTID,TREE_ID,SUB_NAME,SUB_GENUS,SUB_SPECIES,SUB_VARIETY,PLANTS,USER_ID,DATE_ADDED,DATE_UPDATED,NAME,SUB_ID,NOTES,DBH,REVISIT_ID,REVISIT_DATE_ADDED,REVISIT_DATE_UPDATED,REVISIT_NOTES,REVISIT_TYPE,CROWN_VIGOR,LEAF_DEFOLIATIONF,LEAF_DISCOLORATIONF,FINE_TWIG_DIEBACKF,CROWN_LIGHT_EXPOSURE,CROWN_DENSITY_TRANS,INV_CROWN_VIGOR,PercImpervious
4,9989CB9E-E7B4-4F8F-ABFD-00DBEC808AFF,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,09:30.0,58:21.6,S-O18-CECA-009,3273,"DBH measured at 2'8""",2.2,4,13:33.0,,,2,2,2,2,1,5,35,4,72
6,79C383F6-A96A-48F9-86BA-01D2BE95C76E,red maple,Acer,rubrum,NA,ACRU                ,189796,56:02.0,16:04.9,S-Q21-ACRU-069,3247,,6.3,277,57:33.0,,,2,3,1,2,45,5,55,3,80
7,DE0C7E31-05AC-4206-B718-02B200C5813A,crapemyrtle,Lagerstroemia,indica,NA,LAIN                ,189796,06:24.0,,S-P21-LAUN-001,6931,"DBH measured at 3'4""",1.45,363,08:00.0,,Bark blonding ,2,1,1,1,5,5,45,5,91
9,DBE4DD4B-107C-489D-BA04-037A5D623B18,Callery pear (Bradford pear),Pyrus,calleryana,NA,PYCA80              ,189796,57:37.0,,S-U21-PYCA-018,10957,"Dbh measured at 4'3""",19.5,444,58:45.0,,,2,1,1,2,1,4,5,5,40
10,1E7D1EA8-1D99-4855-9831-03EAB8B6DC61,juniper,Juniperus,spp.,NA,JUNIP               ,189796,36:33.0,,S-R21-JUUN-010,3640,,5,334,37:53.0,,,2,1,1,1,1,5,15,5,51
11,DC9F33F2-76D5-48A0-A1E7-044CF878AB54,willow oak,Quercus,phellos,NA,QUPH                ,189796,37:25.0,21:02.6,S-O18-QUPH-037,3343,,16.9,38,42:28.0,,,2,3,NA,2,5,4,35,3,79
17,2082A15D-39AF-4F61-9518-06B2C04513D1,willow oak,Quercus,phellos,NA,QUPH                ,189796,39:25.0,28:00.2,S-O18-QUPH-032,3343,,30.7,8,41:10.0,,,2,4,NA,4,15,3,45,2,69
18,F6411E12-F480-4BA1-8A43-06E8B8DD1F86,trident maple,Acer,buergerianum,NA,ACBU4               ,203642,36:09.0,,S-O21-ACBU-055,20243,,8.4,362,28:55.0,38:02.0,,2,1,1,2,1,5,15,5,27
20,DBB528FB-3705-442C-87F6-0720C8B54E00,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,45:12.0,58:35.0,S-O18-CECA-019,3273,"Measured at 2'11""",1.55,14,46:28.0,,,2,2,2,2,1,5,45,4,85
21,B91D927D-E184-4C9E-A261-0765879AB822,Japanese zelkova,Zelkova,serrata,NA,ZESE80              ,189796,40:26.0,02:38.8,S-Q21-ZESE-065,18056,,12.05,273,41:41.0,,"Trunk damage, resprout",2,1,1,1,1,4,35,5,79
22,7019DB0F-5C55-43A3-BB38-07BBB6FA9FB5,Kentucky coffeetree,Gymnocladus,dioicus,NA,GYDI                ,189796,56:20.0,04:40.6,S-Q21-GYDI-042,3986,,9.5,256,57:11.0,,Some epicormic branching,2,2,1,2,1,5,35,4,86
23,1AD215A8-C138-427B-BAB9-08674781CA48,willow oak,Quercus,phellos,NA,QUPH                ,179696,03:02.0,,S-O21-QUPH-037,3343,,35,144,04:29.0,,"Root decay, broken branches. ",2,2,1,2,1,5,45,4,37
24,D68B74C9-1645-4B5A-B667-0877DCE34FD6,elm,Ulmus,spp.,NA,ULMUS               ,189796,34:46.0,,S-P21-ULUN-020,3478,,1.4,381,36:33.0,,Broken branches low in canopy,2,2,1,2,20,5,75,4,60
25,E94FA44D-D24E-46F2-9BC2-08AB8E006B36,eastern redbud,Cercis,canadensis,NA,CECA4               ,179696,41:57.0,58:51.9,S-O18-CECA-013,3273,"Measured at 2'3""",1.6,8,43:31.0,,,2,2,2,2,1,5,15,4,53
27,FE06CEF7-D1CA-4E15-AFC7-0A9D1A104D11,Norway maple,Acer,platanoides,NA,ACPL                ,189796,18:17.0,,S-P21-ACPL-065,3002,"This tree is a 'Crimson sunset maple,' a hybrid between an Acer truncatum and an Acer platanoides. All the previous Acer platanoides are, too.",0.89,423,19:05.0,,"This tree is a 'Crimson sunset maple,' a hybrid between an Acer truncatum and an Acer platanoides. All the previous Acer platanoides are, too.",2,2,2,2,1,4,35,4,66
28,8EBF7B9B-9647-4DCA-A4D9-0B2D36C4DDB4,sugar maple,Acer,saccharum,NA,ACSA3               ,189796,59:38.0,,S-O21-ACSA-058,3249,,16,311,00:34.0,,,2,2,1,1,5,5,45,4,37
