Date,Tree Name,Street Segment,Tree Number,Genus,Species,Species ID Code,Tree tag present,Tree tag information,Tree ID in City Inventory (if applicable),Tree Not in City Inventory,ID Notes,Multi-stemmed,DBH (in),DBH 2 (in),DBH 3 (in),DBH 4 (in),DBH 5 (in),DBH 6 (in),Total DBH,Esimated DBH,Height Measured (DBH),Land Use Type,Site type,Percent Imperv in Root Zone,Street,Sidewalk,Powerline,Mulch,Mulch Volcano,Tree guard,Stake,Gator bag,Pruned,Prune - Cut to branch collar,Prune - hatrack,Prune - flush cut,Prune - tear bark,Prune - bleeding wound,Gardenscape,Mowing,Grass Description,Other Cues to Care,Roots visible above soil,Fungal Conch,Road/Sidewalk Lift,Road/Sidewalk crack,Broken or Dead Branches in crown,Trunk damage,Leaf curling or Wrinkling,Other Notable Damage,Other notes,Discoloration,Defoliation,Dieback,Crown Vigor,Crown Light Exposure,"Dead
",Missing or Removed
6/16/2023,O19-QUPH-001,O19,1,Quercus,phellos,QUPH,FALSE,,67055,FALSE,,FALSE,21.6,,,,,,21.6,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,"some root damage, insect exit holes ",,1,1,3,1,4,FALSE,FALSE
6/16/2023,O19-QUPH-002,O19,2,Quercus,phellos,QUPH,FALSE,,54656,FALSE,,FALSE,24.8,,,,,,24.8,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,,1,1,3,1,3,FALSE,FALSE
6/16/2023,O19-QUPH-003,O19,3,Quercus,phellos,QUPH,FALSE,,67186,FALSE,,FALSE,30.4,,,,,,30.4,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"blonding occuring on tree, new leaves are curling , hole in trunk, trunk decay ",,1,1,3,1,4,FALSE,FALSE
6/16/2023,O19-QUPH-004,O19,4,Quercus,phellos,QUPH,FALSE,,66201,FALSE,,FALSE,14.7,,,,,,14.7,,,INST,,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,epicormic brancing ,2,1,1,1,5,FALSE,FALSE
6/16/2023,O19-QUPH-005,O19,5,Quercus,phellos,QUPH,FALSE,,53742,FALSE,,FALSE,9.8,,,,,,9.8,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"small exit hole, epicormic brancing ",,2,1,1,1,4,FALSE,FALSE
6/16/2023,O19-QUPH-006,O19,6,Quercus,phellos,QUPH,FALSE,,55070,FALSE,,FALSE,42.8,,,,,,42.8,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,2,1,3,1,3,FALSE,FALSE
6/16/2023,O19-QUPH-007,O19,7,Quercus,phellos,QUPH,FALSE,,61647,FALSE,,FALSE,10.6,,,,,,10.6,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,epicormic brancing ,,4,1,1,3,3,FALSE,FALSE
6/16/2023,O19-QUPH-008,O19,8,Quercus,phellos,QUPH,FALSE,,61695,FALSE,,FALSE,15.6,,,,,,15.6,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,epicormic brancing ,,2,1,1,2,5,FALSE,FALSE
6/16/2023,O19-QUPH-009,O19,9,Quercus,phellos,QUPH,FALSE,,53761,FALSE,,FALSE,13.4,,,,,,13.4,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,root damage (possibly from weed Wacker),,2,1,2,2,5,FALSE,FALSE
6/16/2023,O19-QUPH-O19,O19,10,Quercus,phellos,QUPH,FALSE,,61697,FALSE,,FALSE,14.4,,,,,,14.4,,,INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,N/A,None,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,5,FALSE,FALSE
6/16/2023,O19-PRSE-011,O19,11,Prunus,serotina,PRSE,FALSE,,73935,FALSE,photo indicates serotina,FALSE,5.3,,,,,,5.3,,"2'7""",INST,SP,4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,Lush,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,3,2,7,4,3,FALSE,FALSE
6/16/2023,O19-LAUN-012,O19,12,Lagerstroemia,unknown,LAUN,FALSE,,Extra1,FALSE,extra crapemyrtle,TRUE,0.7,0.7,0.8,,,,2.2,,,INST,SP,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,N/A,Lush,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1,1,1,1,0,FALSE,FALSE
6/16/2023,O19-LAUN-013,O19,13,Lagerstroemia,unknown,LAUN,FALSE,,95631,FALSE,extra crapemyrtle,TRUE,1.6,1.4,,,,,3,,,INST,SP,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,None,N/A,Lush,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,2,1,2,1,2,FALSE,FALSE
6/16/2023,O19-PRSE-014,O19,14,Prunus,serotina,PRSE,FALSE,,73936,FALSE,,FALSE,3.9,,,,,,3.9,,,INST,SP,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,N/A,Lush,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,3,1,2,3,2,FALSE,FALSE
