Tree ID#,Checked Date,Date Updated,Submitted by,DBH,Leaf Defoliation,Leaf Discoloration,Fine Twig Dieback,Crown Density Trans,Crown Vigor,Crown Light Exposure,QA/QC,Status
122-01-ACPL-011,"July, 09 2021 23:58:04","July, 09 2021 23:58:04",Renata Kamakura,8.5,1,2,1,3,2,4,TRUE,Assigned
122-01-ACPL-011,"July, 26 2022 14:18:54","January, 01 1900 00:00:00",Andrea Nunes,9.1,1,2,1,2,1,5,FALSE,Assigned
150-01-AIAL-001,"July, 15 2021 17:52:18","January, 01 1900 00:00:00",Eve Sanchez,22.8,1,3,4,5,3,3,FALSE,Assigned
150-01-AIAL-001,"August, 18 2021 17:55:10","August, 18 2021 17:55:10",Renata Kamakura,22.8,1,3,4,5,3,3,TRUE,Assigned
150-01-GYDI-030,"August, 06 2021 18:28:52","January, 01 1900 00:00:00",Eve Sanchez,1.81,1,1,1,5,1,5,FALSE,Assigned
150-01-GYDI-030,"August, 18 2021 17:49:24","August, 18 2021 17:49:24",Renata Kamakura,1.81,1,1,1,8,1,4,TRUE,Assigned
122-01-GLTR-023,"July, 10 2021 23:12:46","July, 10 2021 23:12:46",Renata Kamakura,16.81,1,1,4,5,2,3,TRUE,Unassigned
122-01-GLTR-023,"July, 26 2022 15:13:49","July, 26 2022 15:17:02",Andrea Nunes,17,1,1,5,3,2,3,FALSE,Unassigned
150-01-PIUNK-006,"July, 15 2021 18:30:32","January, 01 1900 00:00:00",Eve Sanchez,8.23,1,1,1,4,1,2,FALSE,Assigned
150-01-PIUNK-006,"August, 18 2021 18:00:03","August, 18 2021 18:00:03",Renata Kamakura,8.23,1,2,1,4,1,2,TRUE,Assigned
122-01-GLTR-022,"July, 10 2021 23:08:13","July, 10 2021 23:08:13",Renata Kamakura,13.94,1,2,5,5,2,3,TRUE,Unassigned
122-01-GLTR-022,"July, 26 2022 15:07:52","January, 01 1900 00:00:00",Andrea Nunes,14,1,1,4,3,2,3,FALSE,Unassigned
122-01-GLTR-016,"July, 10 2021 00:27:06","July, 10 2021 00:27:06",Renata Kamakura,15.12,1,1,3,5,1,3,TRUE,Unassigned
122-01-GLTR-016,"July, 26 2022 14:41:21","January, 01 1900 00:00:00",Andrea Nunes,15.2,2,1,3,3,2,3,FALSE,Unassigned
122-01-ACSA-009,"August, 20 2021 16:32:52","August, 20 2021 16:32:52",Renata Kamakura,3.58,1,2,5,5,3,4,TRUE,Unassigned
122-01-ACSA-009,"July, 26 2022 14:09:34","January, 01 1900 00:00:00",Andrea Nunes,3.6,2,2,9,7,4,4,FALSE,Unassigned
122-01-GLTR-020,"July, 10 2021 22:56:52","July, 10 2021 22:56:52",Renata Kamakura,14.53,1,2,3,4,1,4,TRUE,Unassigned
122-01-GLTR-020,"July, 26 2022 14:58:27","January, 01 1900 00:00:00",Andrea Nunes,14.8,2,1,5,5,2,3,FALSE,Unassigned
150-01-GLTR-034,"August, 06 2021 18:49:47","January, 01 1900 00:00:00",Eve Sanchez,13.5,1,1,6,4,2,5,FALSE,Unassigned
150-01-GLTR-034,"August, 18 2021 17:44:47","August, 18 2021 17:44:47",Renata Kamakura,13.5,1,2,6,5,3,5,TRUE,Unassigned
122-01-ACSA-010,"July, 09 2021 23:53:31","July, 09 2021 23:53:31",Renata Kamakura,3.31,1,2,7,6,3,4,TRUE,Unassigned
122-01-ACSA-010,"July, 26 2022 14:15:09","January, 01 1900 00:00:00",Andrea Nunes,3.3,1,2,7,5,3,4,FALSE,Unassigned
122-01-GLTR-019,"July, 10 2021 00:42:19","July, 10 2021 00:42:19",Renata Kamakura,14.41,1,2,4,3,2,4,TRUE,Unassigned
122-01-GLTR-019,"July, 26 2022 14:52:43","January, 01 1900 00:00:00",Andrea Nunes,14.75,2,2,3,3,2,3,FALSE,Unassigned
122-01-ULUNK-008,"July, 09 2021 23:42:10","July, 09 2021 23:42:10",Renata Kamakura,9.96,2,1,2,4,2,4,TRUE,Unassigned
122-01-ULUNK-008,"July, 26 2022 14:03:45","January, 01 1900 00:00:00",Andrea Nunes,10.8,2,1,1,2,1,3,FALSE,Unassigned
122-01-GLTR-013,"July, 10 2021 00:08:38","July, 10 2021 00:08:38",Renata Kamakura,17.09,1,2,3,5,2,4,TRUE,Unassigned
122-01-GLTR-013,"July, 26 2022 14:27:28","January, 01 1900 00:00:00",Andrea Nunes,17.4,2,1,5,3,2,4,FALSE,Unassigned
122-01-GLTR-014,"July, 10 2021 00:14:46","July, 10 2021 00:14:46",Renata Kamakura,20.55,1,1,5,5,2,3,TRUE,Unassigned
122-01-GLTR-014,"July, 26 2022 14:36:52","January, 01 1900 00:00:00",Andrea Nunes,24.1,2,1,5,3,2,3,FALSE,Unassigned
122-01-GLTR-021,"July, 10 2021 23:02:00","July, 10 2021 23:02:00",Renata Kamakura,16.02,1,1,4,4,2,3,TRUE,Unassigned
122-01-GLTR-021,"July, 26 2022 15:02:25","January, 01 1900 00:00:00",Andrea Nunes,16.4,1,1,7,5,3,3,FALSE,Unassigned
122-01-ULAM-002,"July, 09 2021 23:02:55","July, 09 2021 23:02:55",Renata Kamakura,10.12,2,1,1,3,1,4,TRUE,Unassigned
122-01-ULAM-002,"July, 26 2022 13:33:27","January, 01 1900 00:00:00",Andrea Nunes,10.7,2,1,2,2,1,2,FALSE,Unassigned
122-01-ULUNK-007,"August, 20 2021 16:34:52","August, 20 2021 16:34:52",Renata Kamakura,10.16,2,2,1,5,1,3,TRUE,Assigned
122-01-ULUNK-007,"July, 26 2022 14:00:26","January, 01 1900 00:00:00",Andrea Nunes,10.9,2,1,2,2,1,3,FALSE,Assigned
122-01-ULAM-001,"July, 09 2021 22:57:42","July, 09 2021 22:57:42",Renata Kamakura,10.43,2,2,1,2,2,4,TRUE,Unassigned
122-01-ULAM-001,"July, 26 2022 13:27:49","January, 01 1900 00:00:00",Andrea Nunes,11,2,1,2,1,1,3,FALSE,Unassigned
122-01-GLTR-024,"July, 10 2021 23:16:45","July, 10 2021 23:16:45",Renata Kamakura,17.36,1,2,4,5,2,4,TRUE,Unassigned
