Tree ID#,DBH,Leaf Defoliation,Leaf Discoloration,Fine Twig Dieback,Crown Density Trans,Crown Vigor,Crown Light Exposure,QA/QC
46-01-ACXFR-064,4.65,1,5,1,4,4,1,TRUE
46-01-ACXFR-064,4.9,1,4,1,3,4,0,FALSE
46-01-MAUNK-037,7.2,1,2,1,3,1,4,TRUE
46-01-MAUNK-037,7,1,2,2,2,2,4,FALSE
46-01-ACRU-014,4.9,1,3,1,4,3,3,TRUE
46-01-ACRU-014,5.1,1,4,2,3,4,3,FALSE
46-01-GLTR-048,26.97,1,1,1,6,1,5,TRUE
46-01-GLTR-048,26.7,2,1,2,5,1,5,FALSE
46-01-GLTR-080,8.98,1,1,1,4,1,3,TRUE
46-01-GLTR-080,9.6,2,1,2,4,2,2,FALSE
46-01-FRUNK-062,15.24,1,1,3,4,1,2,TRUE
46-01-FRUNK-062,15.4,1,1,5,5,2,2,FALSE
46-01-MAGUNK-076,0.94,1,2,8,7,3,1,TRUE
46-01-MAGUNK-076,0.6,2,2,11,6,4,1,FALSE
46-01-ACPL-090,14.09,1,1,1,3,1,5,TRUE
46-01-ACPL-090,14.3,1,2,1,1,1,5,FALSE
46-01-TIAM-081,7.44,1,1,1,2,4,,TRUE
46-01-TIAM-081,7.5,2,1,1,3,1,,FALSE
46-01-GYDI-002,7.2,1,2,1,4,1,5,TRUE
46-01-GYDI-002,7.3,1,2,1,5,1,5,FALSE
46-01-PRCE-047,11.38,1,1,2,6,1,4,TRUE
46-01-PRCE-047,11.35,2,1,2,4,2,4,FALSE
46-01-ACPL-008,11.3,1,1,1,2,1,4,TRUE
46-01-ACPL-008,11.3,2,2,1,1,2,4,FALSE
46-01-AEFL-024,4,1,2,1,3,1,4,FALSE
46-01-AEFL-024,3.82,1,2,0,2,1,5,TRUE
46-01-GYDI-086,3.62,1,1,1,4,1,4,TRUE
46-01-GYDI-086,4,1,1,2,3,1,4,FALSE
46-01-PRSE-087,1.7,2,3,1,5,3,4,FALSE
46-01-PRSE-087,1.7,2,2,1,5,3,5,TRUE
46-01-FRUNK-012,19.4,1,1,5,6,1,4,TRUE
46-01-FRUNK-012,19.7,1,2,9,6,3,4,FALSE
46-01-ULAM-069,33.5,2,1,2,5,2,5,TRUE
46-01-ULAM-069,33.6,3,2,2,5,3,3,FALSE
46-01-FRPE-034,36.5,1,1,4,4,2,5,FALSE
46-01-FRPE-034,36.77,1,1,3,3,1,5,TRUE
46-01-THOC-088,1.23,1,2,1,5,1,5,TRUE
46-01-THOC-088,0.6,1,1,1,3,1,4,FALSE
46-01-AIAL-066,24.17,1,1,5,5,5,,TRUE
46-01-AIAL-066,24,2,1,3,5,2,,FALSE
46-01-ACPL-009,13.8,1,1,1,2,1,4,TRUE
46-01-ACPL-009,14.3,2,2,1,1,1,2,FALSE
46-01-ULUNK-074,21.15,2,1,2,5,3,2,TRUE
46-01-ULUNK-074,21.9,2,1,2,5,2,2,FALSE
46-01-PRCE-011,2.4,1,1,2,3,1,3,TRUE
46-01-PRCE-011,2.8,2,1,2,3,1,4,FALSE
46-01-PRCE-035,9.5,1,1,2,3,1,4,FALSE
46-01-PRCE-035,9.29,1,1,1,2,1,4,TRUE
46-01-TIAM-077,8.27,1,1,1,2,1,3,TRUE
46-01-TIAM-077,8.6,1,1,1,2,1,3,FALSE
46-01-ACRU-063,1.75,1,5,1,6,4,0,FALSE
46-01-ACRU-063,1.75,1,5,1,6,4,0,TRUE
46-01-ULUNK-083,16.81,2,2,3,3,3,4,TRUE
46-01-ULUNK-083,17.4,2,2,3,3,2,4,FALSE
46-01-MOAL-003,26.1,1,1,2,3,1,5,TRUE
46-01-MOAL-003,26.8,1,3,4,3,3,5,FALSE
46-01-TICO-041,0,2,0,1,2,1,4,TRUE
46-01-TICO-041,0,1,2,1,2,2,4,FALSE
46-01-FRUNK-045,6.1,1,2,2,5,3,4,FALSE
46-01-FRUNK-045,6,1,1,1,5,1,4,TRUE
46-01-TIAM-038,12,2,1,2,4,1,3,TRUE
46-01-TIAM-038,12.6,2,1,1,2,2,4,FALSE
46-01-THOC-036,3.15,1,1,2,2,1,4,TRUE
46-01-THOC-036,2.8,1,2,1,2,2,4,FALSE
46-01-FRUNK-044,33.8,1,1,3,4,2,4,TRUE
46-01-FRUNK-044,33.8,1,2,3,5,2,5,FALSE
46-01-PYCA-059,4.8,1,2,1,2,1,3,FALSE
46-01-PYCA-059,5,1,1,1,1,1,2,TRUE
46-01-CECA-049,5.12,1,2,11,5,3,4,TRUE
46-01-CECA-049,5.3,1,2,2,2,1,4,FALSE
281-GIBI-020,1.8,0,0,0,0,5,,TRUE
281-GIBI-020,1.8,1,2,3,4,2,,FALSE
46-01-CASP-040,9.6,1,1,1,2,1,4,TRUE
46-01-CASP-040,9.8,1,1,1,3,1,4,FALSE
46-01-AIAL-067,8.03,1,1,3,5,1,3,TRUE
46-01-AIAL-067,8.3,1,1,7,6,3,4,FALSE
46-01-ULUNK-073,16.42,3,1,2,4,3,1,TRUE
46-01-ULUNK-073,16.7,2,1,2,5,2,2,FALSE
46-01-TICO-055,1.35,2,1,1,3,1,5,FALSE
46-01-TICO-055,1.7,1,1,1,3,1,5,TRUE
46-01-PRCE-016,6.38,1,1,1,5,1,5,TRUE
46-01-PRCE-016,6.7,2,1,3,4,2,5,FALSE
46-01-FRUNK-057,15.94,1,1,1,5,1,4,TRUE
46-01-FRUNK-057,15.94,1,2,2,3,2,5,FALSE
46-01-GIBI-054,1.18,1,1,1,7,1,5,TRUE
46-01-GIBI-054,1.2,1,2,1,4,1,5,FALSE
46-01-MOUNK-072,14.22,1,1,5,5,1,4,TRUE
46-01-MOUNK-072,15.6,2,1,3,5,2,3,FALSE
46-01-PIUNK-068,4.65,1,1,2,3,1,0,TRUE
46-01-PIUNK-068,4.65,1,1,1,4,1,0,FALSE
46-01-GLTR-082,9.6,2,1,2,4,2,5,FALSE
46-01-GLTR-082,9.13,2,1,1,5,1,5,TRUE
46-01-PYCA-060,6.69,1,1,1,2,1,1,TRUE
46-01-PYCA-060,7.1,1,1,1,2,1,1,FALSE
46-01-ULUNK-084,16.8,2,2,3,4,2,4,FALSE
46-01-ULUNK-084,16.9,2,2,3,5,3,4,TRUE
46-01-PRUNK-039,5.7,1,1,4,7,2,2,TRUE
46-01-PRUNK-039,6,1,1,4,7,2,2,FALSE
46-01-PRCE-004,10.7,1,1,2,3,1,3,TRUE
46-01-PRCE-004,9.4,2,1,3,3,2,4,FALSE
46-01-FRPE-033,19.6,1,1,2,6,1,5,TRUE
46-01-FRPE-033,19.7,1,2,3,4,2,4,FALSE
46-01-AEFL-085,6.3,1,2,1,3,2,5,TRUE
46-01-AEFL-085,6.6,1,2,1,3,1,5,FALSE
46-01-MAUNK-091,4.06,1,2,1,2,1,5,TRUE
46-01-MAUNK-091,3.8,1,3,2,2,3,4,FALSE
46-01-TIAM-079,7.91,1,1,1,2,2,,TRUE
46-01-TIAM-079,8.1,1,2,1,3,2,,FALSE
46-01-PYCA-007,7.17,1,1,1,1,1,4,TRUE
46-01-PYCA-007,7.8,1,1,1,1,1,4,FALSE
