Date,Tree Name,QAQC,Street Segment,Tree Number,Genus,Species,Species ID Code,DBH (in),Discoloration,Defoliation,Dieback,CrownStress,CrownLight
7/21/2023,16-GLTR-001,FALSE,16,001,Gleditsia,triacanthos,GLTR,23.5,1,1,3,1,4
8/22/2023,16-GLTR-001,TRUE,16,001,Gleditsia,triacanthos,GLTR,,1,1,5,2,3
7/21/2023,16-ACPL-032,FALSE,16,032,Acer,platanoides,ACPL,15.9,2,2,9,4,3
8/22/2023,16-ACPL-032,TRUE,16,032,Acer,platanoides,ACPL,,2,2,8,4,4
7/21/23,16-GLTR-041,FALSE,16,041,Gleditsia,triacanthos,GLTR,25.5,1,1,5,2,2
8/22/2023,16-GLTR-041,TRUE,16,041,Gleditsia,triacanthos,GLTR,,1,1,3,1,2
7/21/2023,16-ACPL-070,FALSE,16,070,Acer,platanoides,ACPL,14.9,3,2,8,4,5
8/22/2023,16-ACPL-070,TRUE,16,070,Acer,platanoides,ACPL,,3,2,8,4,5
7/21/2023,16-GLTR-074,FALSE,16,074,Gleditsia,triacanthos,GLTR,30.4,1,2,5,2,4
8/22/2023,16-GLTR-074,TRUE,16,074,Gleditsia,triacanthos,GLTR,,1,2,5,2,3
7/21/2023,16-ACPL-078,FALSE,16,078,Acer,platanoides,ACPL,12.2,2,1,5,3,2
8/22/2023,16-ACPL-078,TRUE,16,078,Acer,platanoides,ACPL,,2,1,4,3,2
7/18/2023,46-01-TICO-015,FALSE,49,015,Tilia,cordata,TICO,9,3,1,1,3,5
8/22/2023,46-01-TICO-015,TRUE,49,015,Tilia,cordata,TICO,,2,1,1,1,5
7/18/2026,46-01-ACPL-031,FALSE,49,031,Acer,platanoides,ACPL,15,3,1,3,4,3
8/22/2023,46-01-ACPL-031,TRUE,49,031,Acer,platanoides,ACPL,,3,2,3,4,3
7/18/2023,46-01-ULUNK-074,FALSE,49,074,Ulmus,unknown,ULUN,21.9,2,3,2,3,2
8/22/2023,46-01-ULUNK-074,TRUE,49,074,Ulmus,unknown,ULUN,,1,2,2,2,2
7/18/2023,46-01-GLTR-080,FALSE,49,080,Gleditsia,triacanthos,GLTR,10.2,1,2,2,1,2
8/22/2023,46-01-GLTR-080,TRUE,49,080,Gleditsia,triacanthos,GLTR,,1,2,2,2,2
7/18/2023,46-01-GYDI-086,FALSE,49,086,Gymnocladus,dioicus,GYDI,4.9,1,1,1,1,4
8/22/2023,46-01-GYDI-086,TRUE,49,086,Gymnocladus,dioicus,GYDI,,2,1,1,2,5
7/22/2023,52-01-ULAM-014,FALSE,55,014,Ulmus,americana,ULAM,11.7,2,2,1,1,4
8/21/2023,52-01-ULAM-014,TRUE,55,014,Ulmus,americana,ULAM,,2,2,1,2,4
7/22/2023,52-01-ULAM-022,FALSE,55,022,Ulmus,americana,ULAM,10.6,3,2,1,3,4
8/21/2023,52-01-ULAM-022,TRUE,55,022,Ulmus,americana,ULAM,,3,2,1,3,4
7/22/2023,52-01-GLTR-030,FALSE,55,030,Gleditsia,triacanthos,GLTR,7.7,1,2,1,2,3
8/21/2023,52-01-GLTR-030,TRUE,55,030,Gleditsia,triacanthos,GLTR,,1,2,1,2,3
7/22/2023,55-ULUN-059,FALSE,55,059,Ulmus,unknown,ULUN,2.8,1,2,6,3,2
8/21/2023,55-ULUN-059,TRUE,55,059,Ulmus,unknown,ULUN,,1,2,5,2,3
7/27/2023,57-GYDI-019,FALSE,57,019,Gymnocladus,dioicus,GYDI,14.4,2,1,2,1,2
8/22/2023,57-GYDI-019,TRUE,57,019,Gymnocladus,dioicus,GYDI,,3,1,2,3,3
7/27/2023,57-GLTR-030,FALSE,57,030,Gleditsia,triacanthos,GLTR,22.1,1,2,2,1,4
8/22/2023,57-GLTR-030,TRUE,57,030,Gleditsia,triacanthos,GLTR,,1,2,2,1,4
7/27/2023,57-GLTR-031,FALSE,57,031,Gleditsia,triacanthos,GLTR,21.8,1,2,4,2,3
8/22/2023,57-GLTR-031,TRUE,57,031,Gleditsia,triacanthos,GLTR,,1,2,3,2,3
7/27/2023,57-ACPL-033,FALSE,57,033,Acer,platanoides,ACPL,13,3,1,3,4,3
8/22/2023,57-ACPL-033,TRUE,57,033,Acer,platanoides,ACPL,,4,1,2,4,4
7/27/2023,57-GLTR-065,FALSE,57,065,Gleditsia,triacanthos,GLTR,17.6,1,1,4,2,3
8/22/2023,57-GLTR-065,TRUE,57,065,Gleditsia,triacanthos,GLTR,,1,2,4,2,3
7/15/2023,122-01-GLTR-013,FALSE,128,013,Gleditsia,triacanthos,GLTR,17.3,1,2,7,3,4
8/21/2023,122-01-GLTR-013,TRUE,128,013,Gleditsia,triacanthos,GLTR,,1,2,7,2,4
7/15/2023,122-01-GLTR-018,FALSE,128,018,Gleditsia,triacanthos,GLTR,15.6,2,1,9,3,3
8/21/2023,122-01-GLTR-018,TRUE,128,018,Gleditsia,triacanthos,GLTR,,1,1,10,4,3
7/15/2023,122-01-GLTR-024,FALSE,128,024,Gleditsia,triacanthos,GLTR,17.6,1,2,8,3,4
8/21/2023,122-01-GLTR-024,TRUE,128,024,Gleditsia,triacanthos,GLTR,,1,2,7,3,4
7/15/2023,128-ULUN-032,FALSE,128,032,Ulmus,unknown,ULUN,2.2,2,2,4,3,5
