Tree Name,Date,Genus,Species,Other notes,Discoloration,Defoliation,Dieback,CrownStress,Crown Light Exposure
M22-ACSA-178,7/7/2023,Acer,saccharum,,5,2,7,4,5
M22-PLAC-224,7/7/2023,Platanus,acerifolia,,2,1,1,2,5
M22-PRYE-199,7/7/2023,Pyrus,yedoensis,,2,2,1,2,5
M22-QUMA-226,7/7/2023,Quercus,macrocarpa,,2,2,1,2,5
O19-ACBU-022,7/10/2023,Acer,buergerianum,,2,1,1,1,2
O19-CHRE-052,7/10/2023,Chionanthus,retusus,,2,1,1,1,5
O19-CHRE-057,7/10/2023,Chionanthus,retusus,,5,1,3,4,5
O19-CHRE-060,7/10/2023,Chionanthus,retusus,,3,2,6,4,5
O19-LAIN-032,7/10/2023,Lagerstroemia,unknown,,2,1,13,4,5
O19-PICH-064,7/10/2023,Pistachia,chinensis,,2,1,1,1,4
O19-PICH-068,7/10/2023,Pistachia,chinensis,,1,1,1,1,5
O19-PICH-071,7/10/2023,Pistachia,chinensis,,2,1,1,2,5
O19-PRUN-042,7/10/2023,Prunus,unknown,,2,2,1,2,5
O19-QUPH-002,7/10/2023,Quercus,phellos,,2,1,4,2,3
O19-QUPH-047,7/10/2023,Quercus,phellos,,2,1,2,1,5
O19-QUPH-051,7/10/2023,Quercus,phellos,,2,2,1,2,5
Q23-LAUN-206,7/7/2023,Lagerstroemia,unknown,,2,1,1,2,4
R24-NYSY-093,7/7/2023,Nyssa,sylvatica,,1,2,1,1,5
R24-PICH-104,7/7/2023,Pistachia,chinensis,curling leaves,1,1,1,1,5
S19-ASTR-081,7/7/2023,Asimina,triloba,,2,1,4,2,5
S19-QUPH-085,7/7/2023,Quercus,phellos,,2,1,5,3,3
S-K18-LAUN-172,7/7/2023,Lagerstroemia,unknown,,2,1,1,1,5
S-M19-NYSY-008,7/7/2023,Nyssa,sylvatica,,1,2,2,1,3
S-M19-NYSY-012,7/7/2023,Nyssa,sylvatica,,2,1,3,2,3
S-M19-QUCO-032,7/7/2023,Quercus,coccinea,,1,1,4,2,4
S-O21-ACBU-055,7/7/2023,Acer,buergerianum,,3,1,2,3,4
S-P21-GIBI-029,7/7/2023,Gingko,biloba,,2,1,1,1,5
S-P21-LAUN-001,7/7/2023,Lagerstroemia,unknown,,1,1,2,1,5
S-P21-LAUN-005,7/7/2023,Lagerstroemia,unknown,curling leaves,1,1,1,1,5
S-P21-LAUN-008,7/7/2023,Lagerstroemia,unknown,,1,1,1,1,5
S-P21-LAUN-047,7/7/2023,Lagerstroemia,unknown,,1,1,2,1,4
S-P21-PAPE-046,7/7/2023,Parrotia,persica,,,,21,5,4
S-Q21-ACRU-023,7/10/2023,Acer,rubrum,,2,1,7,2,5
S-Q21-ACRU-030,7/10/2023,Acer,rubrum,,2,1,3,2,4
S-Q21-ACRU-071,7/10/2023,Acer,rubrum,,1,1,3,1,2
S-Q21-ACXF-051,7/10/2023,Acer,rubrum,,2,1,4,2,5
S-Q21-GYDI-038,7/10/2023,Gymnocladus,dioicus,,2,1,1,2,5
S-Q21-GYDI-042,7/10/2023,Gymnocladus,dioicus,,2,1,1,2,5
S-Q21-GYDI-045,7/10/2023,Gymnocladus,dioicus,curled leaves,2,1,2,2,5
S-Q21-ULAM-002,7/10/2023,Ulmus,americana,,3,2,1,3,5
S-Q21-ULAM-009,7/10/2023,Ulmus,americana,,3,2,1,3,5
S-Q21-ULPA-073,7/10/2023,Ulmus,parvifolia,,2,1,1,1,4
S-R21-CACA-035,7/7/2023,Carpinus,caroliniana,,4,2,2,4,3
S-R21-CACA-036,7/7/2023,Carpinus,caroliniana,,2,2,2,3,3
S-R21-QUPH-058,7/7/2023,Quercus,phellos,,1,1,5,2,5
S-R21-ULAM-020,7/7/2023,Ulmus,americana,,1,2,1,1,4
S-S18-QURU-007,7/7/2023,Quercus,rubra,,2,2,2,2,4
S-S22-QUVI-008,7/7/2023,Quercus,virginiana,,1,1,2,1,5
S-S22-QUVI-009,7/7/2023,Quercus,virginiana,,1,1,2,1,4
S-U18-ULAL-018,7/7/2023,Ulmus,parvifolia,,2,1,1,1,4
U17-LAIN-138,7/7/2023,Lagerstroemia,indica,,1,1,2,1,3
U17-MAST-144,7/7/2023,Magnolia,stellata,,,,21,5,5
U17-MAST-153,7/7/2023,Magnolia,stellata,,3,1,2,3,3
V19-ULAM-111,7/7/2023,Ulmus,americana,,3,2,2,3,5
V19-ULAM-118,7/7/2023,Ulmus,americana,,5,2,9,4,5
X16-ACRU-262,7/7/2023,Acer,rubrum,,2,1,1,1,5
X16-ACRU-264,7/7/2023,Acer,rubrum,,2,1,1,1,5
X16-CECA-258,7/7/2023,Cercis,canadensis,,2,2,3,2,1
X16-LIST-251,7/7/2023,Liquidambar,styraciflua,,2,2,5,3,1
X16-LIST-259,7/7/2023,Liquidambar,styraciflua,,1,1,2,1,3
