"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",-1.043,0.859707089264425,1.12488740570833
"2","Segment128",0.6394,0.859707089264425,0.689600198667218
"3","Segment153",0.3891,0.859707089264425,0.419648791525515
"4","Segment157",0.3472,0.859707089264425,0.374459163242506
"5","Segment16",0.6303,0.859707089264425,0.67978574479191
"6","Segment244",0.6185,0.859707089264425,0.667059310096457
"7","Segment275",0.1768,0.859707089264425,0.190680818148834
"8","Segment281",0.4225,0.859707089264425,0.455671072782139
"9","Segment292",0.1617,0.859707089264425,0.174395295784312
"10","Segment306",0.1332,0.859707089264425,0.143657720460547
"11","Segment49",0.5546,0.859707089264425,0.598142430686329
"12","Segment55",-0.2826,0.859707089264425,0.30478732584197
"13","Segment57",0.1966,0.859707089264425,0.212035344163239
"14","Year2022",0.5328,0.859707089264425,0.574630881842186
"15","Year2023",0.9303,0.859707089264425,1.0033391692526
"16","BasalArea",-0.1568,0.859707089264425,0.169110589851454
"17","SppGroupAcer_platanoides",0.6928,0.859707089264425,0.747192708221221
"18","SppGroupCeltis_occidentalis",0.07418,0.859707089264425,0.08000397675498
"19","SppGroupFraxinus spp.",0.3269,0.859707089264425,0.352565381520666
"20","SppGroupOther_lg",0.5943,0.859707089264425,0.640959333856628
"21","SppGroupOther_md",0.249,0.859707089264425,0.268549342302373
"22","SppGroupOther_sm",-1.378,0.859707089264425,1.48618872968944
"23","SppGroupTilia spp.",-0.2281,0.859707089264425,0.246008453731612
"24","SppGroupUlmus spp.",0.6241,0.859707089264425,0.673098974019723
"25","Powerline",0.02226,0.859707089264425,0.0240076640949832
"26","MulchMulch",0.1523,0.859707089264425,0.164257288484544
"27","MulchVolcano",0.1791,0.859707089264425,0.193161394403032
"28","Gardenscape2",-0.06377,0.859707089264425,0.0687766729261941
"29","Gardenscape3",-0.06446,0.859707089264425,0.0695208458024537
"30","Gardenscape4",-0.1401,0.859707089264425,0.151099449223142
"31","PrunedCorrect1",0.09556,0.859707089264425,0.103062550804879
"32","CrownLight2",0.2051,0.859707089264425,0.221202691189625
"33","CrownLight3",0.256,0.859707089264425,0.276098922206456
"34","CrownLight4",0.2157,0.859707089264425,0.232634912187236
"35","CrownLight5",0.2073,0.859707089264425,0.223575416302337
"36","UrbanApp1",-0.4075,0.859707089264425,0.439493401559104
"37","SiteTypeOther",0.05813,0.859707089264425,0.0626938685463331
"38","SiteTypeSP",-0.316,0.859707089264425,0.340809607098594
"39","LandUseCOMM_Mx",0.3075,0.859707089264425,0.331642260072208
"40","LandUseINST",-0.2651,0.859707089264425,0.285913376081763
"41","LandUseMFR",0.04667,0.859707089264425,0.0503341277319347
"42","LandUseMP",0.1565,0.859707089264425,0.168787036426993
"43","LandUseOther",-0.09401,0.859707089264425,0.101390858111832
"44","PercentImperv2",0.7446,0.859707089264425,0.803059599511433
"45","PercentImperv3",0.4257,0.859707089264425,0.45912230930972
"46","PercentImperv4",0.299,0.859707089264425,0.322474913045821
"47","BasalArea:SppGroupAcer_platanoides",0.3854,0.859707089264425,0.4156582992905
"48","BasalArea:SppGroupCeltis_occidentalis",0.05491,0.859707089264425,0.059221061790455
"49","BasalArea:SppGroupFraxinus spp.",0.3106,0.859707089264425,0.334985645458301
"50","BasalArea:SppGroupOther_lg",0.2814,0.859707089264425,0.303493112144127
"51","BasalArea:SppGroupOther_md",0.1808,0.859707089264425,0.194994863808309
"52","BasalArea:SppGroupOther_sm",-0.1468,0.859707089264425,0.158325475702764
"53","BasalArea:SppGroupTilia spp.",0.1988,0.859707089264425,0.214408069275951
"54","BasalArea:SppGroupUlmus spp.",0.3584,0.859707089264425,0.386538491089038
"55","UrbanApp1:SiteTypeOther",-1.416,0.859707089264425,1.52717216345446
"56","UrbanApp1:SiteTypeSP",0.2018,0.859707089264425,0.217643603520558
