"","Estimate","SE","CI_025","CI_975","sig95"
"(Intercept)",-0.3938,0.2714,-0.9278,0.1261,""
"Segment128",0.587,0.2278,0.1402,1.032,"*"
"Segment153",0.494,0.1878,0.1286,0.8657,"*"
"Segment157",0.3328,0.1864,-0.03454,0.7017,""
"Segment16",0.75,0.1831,0.3936,1.111,"*"
"Segment244",0.6178,0.1848,0.2605,0.987,"*"
"Segment275",0.1588,0.191,-0.2196,0.5274,""
"Segment281",0.6039,0.2133,0.194,1.025,"*"
"Segment292",0.05101,0.2149,-0.3671,0.4707,""
"Segment306",0.1134,0.1815,-0.24,0.4705,""
"Segment49",0.5277,0.1539,0.2276,0.8296,"*"
"Segment55",0.009728,0.2254,-0.4282,0.4497,""
"Segment57",0.2066,0.192,-0.1729,0.5803,""
"Year2022",0.5186,0.1218,0.2794,0.7587,"*"
"Year2023",0.9346,0.108,0.7218,1.146,"*"
"BasalArea",-0.1543,0.06061,-0.2738,-0.03468,"*"
"SppGroupAcer_platanoides",0.5395,0.369,-0.1906,1.267,""
"SppGroupCeltis_occidentalis",0.09568,0.4336,-0.7481,0.9408,""
"SppGroupFraxinus spp.",0.3688,0.322,-0.2676,1.005,""
"SppGroupOther_lg",0.4327,0.3395,-0.2381,1.092,""
"SppGroupOther_md",0.1989,0.2931,-0.372,0.7696,""
"SppGroupOther_sm",-1.188,0.5698,-2.304,-0.0724,"*"
"SppGroupTilia spp.",-0.2954,0.3376,-0.9531,0.3638,""
"SppGroupUlmus spp.",0.6766,0.2863,0.1131,1.245,"*"
"UrbanApp1",-0.4557,0.2186,-0.8943,-0.03202,"*"
"SiteTypeOther",0.3768,0.419,-0.4432,1.195,""
"SiteTypeSP",-0.3095,0.131,-0.5651,-0.05066,"*"
"BasalArea:SppGroupAcer_platanoides",0.3303,0.1151,0.1063,0.5611,"*"
"BasalArea:SppGroupCeltis_occidentalis",0.06325,0.1217,-0.1756,0.3001,""
"BasalArea:SppGroupFraxinus spp.",0.3401,0.1211,0.1035,0.5781,"*"
"BasalArea:SppGroupOther_lg",0.2244,0.08389,0.05809,0.3858,"*"
"BasalArea:SppGroupOther_md",0.1616,0.08167,0.001257,0.3216,"*"
"BasalArea:SppGroupOther_sm",-0.1003,0.1258,-0.346,0.1446,""
"BasalArea:SppGroupTilia spp.",0.1755,0.106,-0.02933,0.3844,""
"BasalArea:SppGroupUlmus spp.",0.3628,0.09055,0.1857,0.5395,"*"
"UrbanApp1:SiteTypeOther",-1.36,0.7066,-2.762,0.0273,""
"UrbanApp1:SiteTypeSP",0.2309,0.2004,-0.1663,0.6277,""
