Response,Predictor,Predictor Level,Estimate,SE,CI_025,CI_975,sig95
Defoliation,intercept,,-1.8,0.668,-3.16,-0.535,*
,Segment,128,0.0672,0.482,-0.863,1.01,
,,153,-0.379,0.424,-1.23,0.437,
,,157,-0.492,0.415,-1.33,0.296,
,,16,-0.66,0.449,-1.56,0.2,
,,244,-0.0198,0.375,-0.754,0.726,
,,275,-1.45,0.524,-2.53,-0.479,*
,,281,-0.724,0.537,-1.8,0.293,
,,292,-0.244,0.421,-1.08,0.56,
,,306,-0.236,0.359,-0.946,0.471,
,,49,0.623,0.323,0.00213,1.27,*
,,55,-0.798,0.482,-1.75,0.153,
,,57,-0.462,0.469,-1.4,0.427,
,Year,2022,0.724,0.204,0.328,1.13,*
,,2023,0.585,0.189,0.22,0.959,*
,Basal Area,,-0.114,0.131,-0.371,0.139,
,Species Group,Acer platanoides,2.12,0.922,0.383,3.98,*
,,Celtis occidentalis,3.2,0.895,1.52,4.99,*
,,Fraxinus,-0.476,0.843,-2.12,1.18,
,,Other large,1.79,0.706,0.425,3.2,*
,,Other medium,0.33,0.665,-0.991,1.61,
,,Other small,0.123,1.06,-2.06,2.17,
,,Tilia,0.578,0.682,-0.796,1.91,
,,Ulmus,4.77,0.693,3.5,6.2,*
,Powerline,,0.00112,0.203,-0.408,0.388,
,Mulch,Correct,0.0854,0.212,-0.335,0.497,
,,Volcano,-0.0893,0.398,-0.904,0.66,
,Landscaping,Minor,0.0278,0.22,-0.401,0.469,
,,Moderate,-0.228,0.324,-0.885,0.384,
,,Extensive,-0.26,0.351,-0.972,0.41,
,Pruned following BMPs,,0.0585,0.167,-0.261,0.395,
,Urban Tolerant,,0.0324,0.458,-0.862,0.924,
,Site Type,Other,0.0154,0.979,-1.97,1.89,
,,Sidewalk Planting Strip,0.0913,0.277,-0.452,0.639,
,Land Use,Commercial and Mixed,-0.0832,0.343,-0.75,0.584,
,,Institutional,-0.234,0.692,-1.6,1.1,
,,Multi-family Residential,0.129,0.182,-0.229,0.486,
,,Managed Park,-1.49,0.676,-2.84,-0.188,*
,,Other,0.591,0.485,-0.389,1.52,
,Basal Area x Species Group,Acer platanoides,0.622,0.323,0.0303,1.3,*
,,Celtis occidentalis,-0.0294,0.233,-0.487,0.42,
,,Fraxinus,0.0486,0.3,-0.529,0.65,
,,Other large,0.252,0.171,-0.0827,0.591,
,,Other medium,-0.0047,0.172,-0.342,0.337,
,,Other small,-0.0626,0.232,-0.53,0.38,
,,Tilia,-0.0787,0.206,-0.493,0.315,
,,Ulmus,0.233,0.177,-0.113,0.58,
,Urban Tolerance x Site Type,Other,1.47,1.56,-1.61,4.49,
,,Sidewalk Planting Strip,-0.655,0.432,-1.53,0.16,
Discoloration,intercept,,0.21,0.377,-0.54,0.943,
,Segment,128,0.967,0.32,0.335,1.59,*
,,153,0.649,0.257,0.143,1.16,*
,,157,0.548,0.234,0.0938,1.01,*
,,16,0.375,0.247,-0.103,0.861,
,,244,0.806,0.243,0.328,1.28,*
,,275,0.203,0.247,-0.279,0.68,
,,281,0.378,0.294,-0.198,0.958,
,,292,0.0121,0.263,-0.512,0.512,
,,306,0.32,0.224,-0.12,0.755,
,,49,0.615,0.209,0.207,1.03,*
