"","Estimate","SE","CI_025","CI_975","sig95"
"Defoliation_intercept",-1.8,0.668,-3.16,-0.535,"*"
"Defoliation_Segment128",0.0672,0.482,-0.863,1.01,""
"Defoliation_Segment153",-0.379,0.424,-1.23,0.437,""
"Defoliation_Segment157",-0.492,0.415,-1.33,0.296,""
"Defoliation_Segment16",-0.66,0.449,-1.56,0.2,""
"Defoliation_Segment244",-0.0198,0.375,-0.754,0.726,""
"Defoliation_Segment275",-1.45,0.524,-2.53,-0.479,"*"
"Defoliation_Segment281",-0.724,0.537,-1.8,0.293,""
"Defoliation_Segment292",-0.244,0.421,-1.08,0.56,""
"Defoliation_Segment306",-0.236,0.359,-0.946,0.471,""
"Defoliation_Segment49",0.623,0.323,0.00213,1.27,"*"
"Defoliation_Segment55",-0.798,0.482,-1.75,0.153,""
"Defoliation_Segment57",-0.462,0.469,-1.4,0.427,""
"Defoliation_Year2022",0.724,0.204,0.328,1.13,"*"
"Defoliation_Year2023",0.585,0.189,0.22,0.959,"*"
"Defoliation_BasalArea",-0.114,0.131,-0.371,0.139,""
"Defoliation_SppGroupAcerplatanoides",2.12,0.922,0.383,3.98,"*"
"Defoliation_SppGroupCeltisoccidentalis",3.2,0.895,1.52,4.99,"*"
"Defoliation_SppGroupFraxinusspp.",-0.476,0.843,-2.12,1.18,""
"Defoliation_SppGroupOtherlg",1.79,0.706,0.425,3.2,"*"
"Defoliation_SppGroupOthermd",0.33,0.665,-0.991,1.61,""
"Defoliation_SppGroupOthersm",0.123,1.06,-2.06,2.17,""
"Defoliation_SppGroupTiliaspp.",0.578,0.682,-0.796,1.91,""
"Defoliation_SppGroupUlmusspp.",4.77,0.693,3.5,6.2,"*"
"Defoliation_Powerline",0.00112,0.203,-0.408,0.388,""
"Defoliation_MulchMulch",0.0854,0.212,-0.335,0.497,""
"Defoliation_MulchVolcano",-0.0893,0.398,-0.904,0.66,""
"Defoliation_Gardenscape2",0.0278,0.22,-0.401,0.469,""
"Defoliation_Gardenscape3",-0.228,0.324,-0.885,0.384,""
"Defoliation_Gardenscape4",-0.26,0.351,-0.972,0.41,""
"Defoliation_PrunedCorrect1",0.0585,0.167,-0.261,0.395,""
"Defoliation_UrbanApp1",0.0324,0.458,-0.862,0.924,""
"Defoliation_SiteTypeOther",0.0154,0.979,-1.97,1.89,""
"Defoliation_SiteTypeSP",0.0913,0.277,-0.452,0.639,""
"Defoliation_LandUseCOMMMx",-0.0832,0.343,-0.75,0.584,""
"Defoliation_LandUseINST",-0.234,0.692,-1.6,1.1,""
"Defoliation_LandUseMFR",0.129,0.182,-0.229,0.486,""
"Defoliation_LandUseMP",-1.49,0.676,-2.84,-0.188,"*"
"Defoliation_LandUseOther",0.591,0.485,-0.389,1.52,""
"Defoliation_BasalArea:SppGroupAcerplatanoides",0.622,0.323,0.0303,1.3,"*"
"Defoliation_BasalArea:SppGroupCeltisoccidentalis",-0.0294,0.233,-0.487,0.42,""
"Defoliation_BasalArea:SppGroupFraxinusspp.",0.0486,0.3,-0.529,0.65,""
"Defoliation_BasalArea:SppGroupOtherlg",0.252,0.171,-0.0827,0.591,""
"Defoliation_BasalArea:SppGroupOthermd",-0.0047,0.172,-0.342,0.337,""
"Defoliation_BasalArea:SppGroupOthersm",-0.0626,0.232,-0.53,0.38,""
"Defoliation_BasalArea:SppGroupTiliaspp.",-0.0787,0.206,-0.493,0.315,""
"Defoliation_BasalArea:SppGroupUlmusspp.",0.233,0.177,-0.113,0.58,""
"Defoliation_UrbanApp1:SiteTypeOther",1.47,1.56,-1.61,4.49,""
"Defoliation_UrbanApp1:SiteTypeSP",-0.655,0.432,-1.53,0.16,""
"Discoloration_intercept",0.21,0.377,-0.54,0.943,""
"Discoloration_Segment128",0.967,0.32,0.335,1.59,"*"
"Discoloration_Segment153",0.649,0.257,0.143,1.16,"*"
"Discoloration_Segment157",0.548,0.234,0.0938,1.01,"*"
"Discoloration_Segment16",0.375,0.247,-0.103,0.861,""
"Discoloration_Segment244",0.806,0.243,0.328,1.28,"*"
"Discoloration_Segment275",0.203,0.247,-0.279,0.68,""
"Discoloration_Segment281",0.378,0.294,-0.198,0.958,""
"Discoloration_Segment292",0.0121,0.263,-0.512,0.512,""
"Discoloration_Segment306",0.32,0.224,-0.12,0.755,""
"Discoloration_Segment49",0.615,0.209,0.207,1.03,"*"
