"","Variable","Beta_est","Sigma","Sensitivity"
"1","(Intercept)",0.004498,0.764218709234791,0.00514529901204325
"2","SegmentModK18",-1.208,0.764218709234791,1.38184108638245
"3","SegmentModM19",-0.7692,0.764218709234791,0.879894175203127
"4","SegmentModM22",-1.062,0.764218709234791,1.2148304915051
"5","SegmentModO18",-1.142,0.764218709234791,1.30634314623241
"6","SegmentModO19",-0.5291,0.764218709234791,0.605241820202775
"7","SegmentModO21",-1.151,0.764218709234791,1.31663831988923
"8","SegmentModOther",-0.9727,0.764218709234791,1.11267949066573
"9","SegmentModP21",-0.4283,0.764218709234791,0.489935875246359
"10","SegmentModQ21",-0.222,0.764218709234791,0.253947616868297
"11","SegmentModR21",-1.167,0.764218709234791,1.3349408508347
"12","SegmentModR24",-1.447,0.764218709234791,1.6552351423803
"13","SegmentModU17",-0.9557,0.764218709234791,1.09323305153618
"14","SegmentModV19",-0.08216,0.764218709234791,0.0939834964049518
"15","SegmentModX16",-1.833,0.764218709234791,2.09678370143959
"16","Year2023",0.2431,0.764218709234791,0.278084079552626
"17","BasalArea",-0.08432,0.764218709234791,0.0964543380825893
"18","SppGroupAcer",0.7174,0.764218709234791,0.820639731267191
"19","SppGroupAcer_rubrum",1.297,0.764218709234791,1.48364891476658
"20","SppGroupCercis_canadensis",2.111,0.764218709234791,2.41479017661701
"21","SppGroupOther_lg",1.372,0.764218709234791,1.56944202857344
"22","SppGroupOther_md",1.02,0.764218709234791,1.16678634777326
"23","SppGroupOther_sm",1.466,0.764218709234791,1.67696939787803
"24","SppGroupPrunus_spp",0.7904,0.764218709234791,0.904145028705865
"25","SppGroupQuercus",0.9417,0.764218709234791,1.0772183369589
"26","SppGroupQuercus_phellos",1.487,0.764218709234791,1.70099146974395
"27","SppGroupUlmus_americana",1.408,0.764218709234791,1.61062272320073
"28","PowerlineTRUE",-0.3617,0.764218709234791,0.41375159018587
"29","MulchMulch",-0.2208,0.764218709234791,0.252574927047387
"30","MulchVolcano",-0.3469,0.764218709234791,0.396821749061317
"31","Gardenscape2",-0.378,0.764218709234791,0.43239729358656
"32","Gardenscape3",-0.4199,0.764218709234791,0.480327046499991
"33","Gardenscape4",-0.3566,0.764218709234791,0.407917658447003
"34","UrbanApp1",-0.304,0.764218709234791,0.347748087963794
"35","SiteTypeM",0.6785,0.764218709234791,0.776141702906034
"36","SiteTypeOM",0.3502,0.764218709234791,0.400596646068818
"37","SiteTypeSP",0.5024,0.764218709234791,0.574699471687534
"38","SiteTypeYard",0.299,0.764218709234791,0.342028547043337
"39","LandUseCOMM_Mx",-0.3199,0.764218709234791,0.365936228090848
"40","LandUseINST",-0.3106,0.764218709234791,0.355297881978798
"41","LandUseNAT_V",-0.092,0.764218709234791,0.105239552936411
"42","LandUseOther",-0.487,0.764218709234791,0.557083285652526
"43","UrbanApp1:SiteTypeM",-1.405,0.764218709234791,1.60719099864846
"44","UrbanApp1:SiteTypeOM",0.1612,0.764218709234791,0.184397999275538
"45","UrbanApp1:SiteTypeSP",-0.4768,0.764218709234791,0.545415422174793
"46","UrbanApp1:SiteTypeYard",0.03343,0.764218709234791,0.0382408505941765
