"","Estimate","SE","CI_025","CI_975","sig95"
"(Intercept)",0.004498,0.4857,-0.9407,0.9604,""
"SegmentModK18",-1.208,0.4686,-2.128,-0.2904,"*"
"SegmentModM19",-0.7692,0.4787,-1.71,0.1788,""
"SegmentModM22",-1.062,0.5017,-2.043,-0.07549,"*"
"SegmentModO18",-1.142,0.5831,-2.297,-0.004781,"*"
"SegmentModO19",-0.5291,0.4759,-1.475,0.4008,""
"SegmentModO21",-1.151,0.4584,-2.053,-0.2479,"*"
"SegmentModOther",-0.9727,0.4425,-1.849,-0.1084,"*"
"SegmentModP21",-0.4283,0.4804,-1.382,0.5122,""
"SegmentModQ21",-0.222,0.5469,-1.297,0.8408,""
"SegmentModR21",-1.167,0.4611,-2.075,-0.2636,"*"
"SegmentModR24",-1.447,0.5103,-2.452,-0.4538,"*"
"SegmentModU17",-0.9557,0.4236,-1.792,-0.1226,"*"
"SegmentModV19",-0.08216,0.5222,-1.099,0.9432,""
"SegmentModX16",-1.833,0.4596,-2.735,-0.9383,"*"
"Year2023",0.2431,0.1062,0.03594,0.4498,"*"
"BasalArea",-0.08432,0.03216,-0.1467,-0.02056,"*"
"SppGroupAcer",0.7174,0.2784,0.1635,1.262,"*"
"SppGroupAcer_rubrum",1.297,0.2796,0.7529,1.846,"*"
"SppGroupCercis_canadensis",2.111,0.3163,1.502,2.745,"*"
"SppGroupOther_lg",1.372,0.2526,0.8819,1.866,"*"
"SppGroupOther_md",1.02,0.2685,0.4948,1.55,"*"
"SppGroupOther_sm",1.466,0.2435,0.991,1.946,"*"
"SppGroupPrunus_spp",0.7904,0.2746,0.2527,1.327,"*"
"SppGroupQuercus",0.9417,0.2946,0.3716,1.515,"*"
"SppGroupQuercus_phellos",1.487,0.3118,0.8788,2.098,"*"
"SppGroupUlmus_americana",1.408,0.3025,0.8195,2.004,"*"
"PowerlineTRUE",-0.3617,0.139,-0.6354,-0.08837,"*"
"MulchMulch",-0.2208,0.1194,-0.4531,0.01363,""
"MulchVolcano",-0.3469,0.2358,-0.8084,0.1217,""
"Gardenscape2",-0.378,0.1926,-0.7512,0.003994,""
"Gardenscape3",-0.4199,0.2712,-0.9514,0.1077,""
"Gardenscape4",-0.3566,0.2713,-0.8828,0.1772,""
"UrbanApp1",-0.304,0.2932,-0.8814,0.2763,""
"SiteTypeM",0.6785,0.3516,-0.01713,1.361,""
"SiteTypeOM",0.3502,0.2712,-0.1831,0.8806,""
"SiteTypeSP",0.5024,0.2269,0.05451,0.9463,"*"
"SiteTypeYard",0.299,0.2505,-0.1874,0.7895,""
"LandUseCOMM_Mx",-0.3199,0.2553,-0.8235,0.1769,""
"LandUseINST",-0.3106,0.2151,-0.7304,0.1091,""
"LandUseNAT_V",-0.092,0.2571,-0.598,0.4076,""
"LandUseOther",-0.487,0.3741,-1.212,0.248,""
"UrbanApp1:SiteTypeM",-1.405,0.5099,-2.417,-0.418,"*"
"UrbanApp1:SiteTypeOM",0.1612,0.4902,-0.8017,1.133,""
"UrbanApp1:SiteTypeSP",-0.4768,0.3277,-1.119,0.1547,""
"UrbanApp1:SiteTypeYard",0.03343,0.34,-0.6438,0.6937,""
