Response,Predictor,Predictor Level,Estimate,SE,CI_025,CI_975,sig95
Defoliation,intercept,,-1.53,0.843,-3.21,0.107,
,Segment,K18,1.95,0.741,0.587,3.47,*
,,M19,1.6,0.842,0.0375,3.25,*
,,M22,1.44,0.811,-0.166,3.06,
,,O18,0.235,0.88,-1.49,1.97,
,,O19,-0.758,0.758,-2.27,0.741,
,,O21,0.823,0.739,-0.639,2.31,
,,Other,0.875,0.722,-0.517,2.27,
,,P21,0.217,0.758,-1.28,1.71,
,,Q21,0.359,0.823,-1.25,1.98,
,,R21,1.06,0.749,-0.427,2.57,
,,R24,0.564,0.831,-1.11,2.19,
,,U17,1.07,0.737,-0.277,2.59,
,,V19,1.49,0.786,-0.0781,3.02,
,,X16,1.01,0.744,-0.44,2.46,
,Year,2023,-0.295,0.144,-0.577,-0.0128,*
,Basal Area,,-0.0964,0.0977,-0.29,0.0929,
,Species Group,Acer rubrum,-2.82,0.818,-4.47,-1.19,*
,,Cercis canadensis,1.5,1.21,-0.878,3.88,
,,Quercus phellos,-0.829,0.745,-2.32,0.581,
,,Ulmus americana,1.28,1.3,-1.21,3.86,
,,Acer other,-2.83,1.14,-5.1,-0.673,*
,,Prunus,1.42,0.988,-0.511,3.38,
,,Quercus other,-2.13,0.867,-3.86,-0.517,*
,,Other large,-0.486,0.612,-1.67,0.717,
,,Other medium,-1.38,0.865,-3.09,0.244,
,,Other small,-1.06,0.781,-2.63,0.48,
,Mulch,Correct,0.0539,0.16,-0.261,0.371,
,,Volcano,0.179,0.323,-0.464,0.8,
,Landscaping,Minimal,0.798,0.267,0.273,1.3,*
,,Moderate,0.588,0.382,-0.159,1.3,
,,Extensive,0.451,0.397,-0.329,1.21,
,Urban tolerance,,0.0431,0.489,-0.918,0.988,
,Site Type,Median,0.247,0.544,-0.814,1.32,
,,Other Maintained,0.619,0.453,-0.265,1.53,
,,Sidewalk Cutout,0.691,0.341,0.0439,1.38,*
,,Yard,0.312,0.368,-0.384,1.06,
,Land Use,Commercial and Mixed,0.00348,0.362,-0.708,0.705,
,,Institutional,0.694,0.28,0.142,1.24,*
,,Natural area or Vacant,0.0918,0.335,-0.571,0.754,
,,Other,0.049,0.486,-0.927,0.98,
,Basal area x Species Group,Acer rubrum,-0.414,0.15,-0.717,-0.119,*
,,Cercis canadensis,0.0845,0.178,-0.263,0.439,
,,Quercus phellos,-0.131,0.225,-0.58,0.303,
