"","Estimate","SE","CI_025","CI_975","sig95"
"Defoliation_intercept",-0.861,0.762,-2.4,0.595,""
"Defoliation_SegmentModK18",1.03,0.562,-0.0657,2.15,""
"Defoliation_SegmentModM19",0.614,0.743,-0.793,2.1,""
"Defoliation_SegmentModM22",0.419,0.705,-0.983,1.81,""
"Defoliation_SegmentModO18",-0.827,0.815,-2.43,0.795,""
"Defoliation_SegmentModO19",-1.7,0.695,-3.11,-0.37,"*"
"Defoliation_SegmentModO21",-0.0688,0.66,-1.35,1.22,""
"Defoliation_SegmentModOther",-0.0285,0.645,-1.27,1.23,""
"Defoliation_SegmentModP21",-0.817,0.661,-2.11,0.455,""
"Defoliation_SegmentModQ21",-0.926,0.705,-2.3,0.476,""
"Defoliation_SegmentModR21",0.131,0.662,-1.13,1.45,""
"Defoliation_SegmentModR24",-0.442,0.75,-1.91,1.05,""
"Defoliation_SegmentModU17",0.16,0.564,-0.932,1.27,""
"Defoliation_SegmentModV19",0.445,0.695,-0.897,1.83,""
"Defoliation_SegmentModX16",-0.0547,0.642,-1.32,1.2,""
"Defoliation_Year2023",-0.313,0.147,-0.597,-0.0211,"*"
"Defoliation_BasalArea",-0.147,0.0965,-0.338,0.0417,""
"Defoliation_SppGroupAcer",-2.32,1.13,-4.62,-0.231,"*"
"Defoliation_SppGroupAcerrubrum",-2.69,0.851,-4.41,-1.1,"*"
"Defoliation_SppGroupCerciscanadensis",1.97,1.25,-0.434,4.46,""
"Defoliation_SppGroupOtherlg",0.182,0.567,-0.947,1.3,""
"Defoliation_SppGroupOthermd",-1.02,0.843,-2.74,0.584,""
"Defoliation_SppGroupOthersm",-1.06,0.775,-2.64,0.373,""
"Defoliation_SppGroupPrunusspp",1.56,1.03,-0.411,3.59,""
"Defoliation_SppGroupQuercus",-1.83,0.871,-3.6,-0.206,"*"
"Defoliation_SppGroupQuercusphellos",-0.703,0.719,-2.16,0.671,""
"Defoliation_SppGroupUlmusamericana",1.59,1.31,-0.873,4.19,""
"Defoliation_MulchMulch",0.0916,0.166,-0.233,0.415,""
"Defoliation_MulchVolcano",0.166,0.339,-0.528,0.816,""
"Defoliation_Gardenscape2",0.771,0.279,0.23,1.31,"*"
"Defoliation_Gardenscape3",0.447,0.393,-0.35,1.21,""
"Defoliation_Gardenscape4",0.333,0.397,-0.437,1.12,""
"Defoliation_UrbanApp1",-0.0876,0.218,-0.521,0.343,""
"Defoliation_SiteTypeM",0.484,0.545,-0.646,1.55,""
"Defoliation_SiteTypeOM",0.837,0.405,0.0273,1.64,"*"
"Defoliation_SiteTypeSP",0.604,0.298,0.0266,1.18,"*"
"Defoliation_SiteTypeYard",0.224,0.356,-0.488,0.916,""
"Defoliation_LandUseCOMMMx",0.138,0.366,-0.586,0.86,""
"Defoliation_LandUseINST",0.618,0.286,0.067,1.19,"*"
"Defoliation_LandUseNATV",0.237,0.341,-0.445,0.916,""
"Defoliation_LandUseOther",0.112,0.523,-0.94,1.11,""
"Defoliation_BasalArea:SppGroupAcer",-0.369,0.176,-0.718,-0.0426,"*"
